¶ Linstruction des	¶ L'instruction des
Christ/ qui est limage de dieu. 2.Corin4.a.	Christ/ qui est l'image de dieu. 2.Corin.4.a.
Lequel cõme ainsi soit quil soit la splẽdeur de	Lequel comme ainsi soit qu'il soit la splendeur de
gloire/ ⁊ la figure de la substãce diceluy. Hebr.1.a.	gloire/ et la figure de la substance d'iceluy. Hebr.1.a.
Au cõmencement estoit la parolle/ ⁊ la parolle	Au commencement estoit la parolle/ et la parolle
estoit Dieu. Iehã.1.a.	estoit Dieu. Jehã.1.a.
Deuant q̃ Abraham ◊	Devant que Abraham ◊
Uoꝰ croyez en dieu/ croyez aussi en moy. Io.14.a	Vous croyez en dieu/ croyez aussi en moy. Jo.14.a
Qui me uoit/ il uoit mon pere. Iehã.14.b.	Qui me voit/ il voit mon pere. Jehã.14.b.
Moy ⁊ mon pere sommes un. Iehã.10.f.	Moy et mon pere sommes un. Jehã.10.f.
Ie suis en mon pere: ⁊ mõ pere/ en moy. Ieh.14.b	Je suis en mon pere: et mon pere/ en moy. Jeh.14.b
En ce iour la/ uous cõgnoistrez q̃ ie suis en mõ	En ce jour la/ vous congnoistrez que je suis en mon
pere: ⁊ uous en moy/ ⁊ moy en uous. Iehã.14.c.	pere: et vous en moy/ et moy en vous. Jehã.14.c.
Iesus luy dit: Ie suis la uoye/ ⁊ la uerite/ et la	Jesus luy dit: Je suis la voye/ et la verite/ et la
uie/ nul ne uient a mon pere/ sinon par moy. Si	vie/ nul ne vient a mon pere/ sinon par moy. Si
uous me eussiez cõgneu/ uous eussiez aussi certes	vous me eussiez congneu/ vous eussiez aussi certes
cõgneu mon pere. Ieh.14.a	congneu mon pere. Jeh.14.a
Ie suis lhuys. Ieh.10.b.	Je suis l'huys. Jeh.10.b.
Nul ne poeut uenir a moy/ se mon pere ne le	Nul ne poeut venir a moy/ se mon pere ne le
tire. Iehã.6.e.	tire. Jehã.6.e.
Le pere ayme le filz/ ⁊ a donne toutes choses en	Le pere ayme le filz/ et a donne toutes choses en
sa main/ qui croit au filz il a uie eternelle. Et qͥ est	sa main/ qui croit au filz il a vie eternelle. Et qui est
incredule/ il ne uerra poĩt la uie/ mais lire de dieu	incredule/ il ne verra point la vie/ mais l'ire de dieu
demeure sur luy. Ieh.3.d.	demeure sur luy. Jeh.3.d.
Ceste est la uie eternelle/ qͥl te cõgnoissent seul	Ceste est la vie eternelle/ qu'il te congnoissent seul
uray dieu/ ⁊ Iesus Christ q̃ tu as enuoye. Ieh.17.a.	vray dieu/ et Jesus Christ que tu as envoye. Jeh.17.a.
Qui croyt au filz de Dieu il a tesmoignage en	Qui croyt au filz de Dieu il a tesmoignage en
soymesme. 1.Iehã.5.b.	soymesme. 1.Jehã.5.b.
Dieu a tant ayme le monde/ quil a donne son	Dieu a tant ayme le monde/ qu'il a donne son
seul filz: affin que tout hõme qui croyt en luy/ ne	seul filz: affin que tout homme qui croyt en luy/ ne
perisse point/ mais quil ayt uie eternelle. Car dieu	perisse point/ mais qu'il ayt vie eternelle. Car dieu
na point enuoye son filz au monde/ pour iuger le	n'a point envoye son filz au monde/ pour juger le
monde: mais affin q̃ le monde soit sauue par luy.	monde: mais affin que le monde soit sauve par luy.
Qui croyt en luy il nest point iuge. Et qͥ ne croyt	Qui croyt en luy il n'est point juge. Et qui ne croyt
point/ il est desia iuge: car il ne croyt poit au nom	point/ il est desja juge: car il ne croyt point au nom
◊ de dieu. Ieh.3.b.	◊ de dieu. Jeh.3.b.
Par lequel nous auons fiance ⁊ acces en confi	Par lequel nous avons fiance et acces en confi¬
dence par la foy diceluy. Ephe.4.b.	dence par la foy d'iceluy. Ephe.4.b.
Car aussi ny a point autre nom soubz le ciel dõ	Car aussi n'y a point autre nom soubz le ciel don¬
ne aux hões/ auq̃l il noꝰ faille estre sauuez. Act̃.4.b	ne aux hommes/ auquel il nous faille estre sauvez. Act̃.4.b
nostre Seigneur.	nostre Seigneur.
Uoicy cõme le filz de lhomme qui uenoit aux	Voicy comme le filz de l'homme qui venoit aux
nuees du ciel: Il luy dõna puissance/ ⁊ hõneur/ et	nuees du ciel: Il luy donna puissance/ et honneur/ et
regne: ⁊ tous les peuples ⁊ lignees/ ⁊ langues luy	regne: et tous les peuples et lignees/ et langues luy
seruirõt. Sa puissance est une puissance eternelle/	serviront. Sa puissance est une puissance eternelle/
laquelle ne sera pas ostee/ ⁊ son regne ne sera point	laquelle ne sera pas ostee/ et son regne ne sera point
aboly. Daniel.7.d.	aboly. Daniel.7.d.
Ilz serõt mõ peuple/ ⁊ ie leur seray Dieu: ⁊ mõ	Ilz seront mon peuple/ et je leur seray Dieu: et mon
seruiteur Dauid sera roy sur eux/ ⁊ sera seul pa¬	serviteur David sera roy sur eux/ et sera seul pa¬
steur deux tous. Ezech.37.f.	steur d'eux tous. Ezech.37.f.
Ilz seruirõt a Leternel/ leͬ dieu/ ⁊ a Dauid leur	Ilz serviront a L'eternel/ leur dieu/ et a David leur
roy/ lequel ie leur susciteray. Iere.30.b.	roy/ lequel je leur susciteray. Jere.30.b.
De toy me sortira le gouuerneur en Israel.	De toy me sortira le gouverneur en Israel.
chee.5.a.	chee.5.a.
Il regnera sur la maison de Iacob eternelle¬	Il regnera sur la maison de Jacob eternelle¬
ment/ ⁊ son royaume sera sans fin. Luc.1.c.	ment/ et son royaume sera sans fin. Luc.1.c.
Auiourdhuy nous est nay le sauueur/ qui est	Aujourdhuy nous est nay le sauveur/ qui est
Christ/ le seigneur. Luc.2.b.	Christ/ le seigneur. Luc.2.b.
Un seigneur Iesus Christ/ par lequel sont tou	Un seigneur Jesus Christ/ par lequel sont tou¬
tes choses ⁊ nous par luy. 1.Corin.8.b.	tes choses et nous par luy. 1.Corin.8.b.
Cestuy est seigneur de tous. Act̃.10.f.	Cestuy est seigneur de tous. Act̃.10.f.
Il mest dõne toute puissance au ciel ⁊ en la ter¬	Il m'est donne toute puissance au ciel et en la ter¬
re. Matth.28.d. Marc.16.b.	re. Matth.28.d. Marc.16.b.
Toutes choses me sont donnees du pere/ ⁊ nul	Toutes choses me sont donnees du pere/ et nul
na cõgneu le filz/ sinon le pere: ⁊ si nul na cõgneu	n'a congneu le filz/ sinon le pere: et si nul n'a congneu
le pere/ sinon le filz/ ⁊ ceux a qui le filz le uouldra	le pere/ sinon le filz/ et ceux a qui le filz le vouldra
reueler. Mat.11.d.	reveler. Mat.11.d.
Pere/ lheure est uenue: clarifie ton filz/ affin q̃	Pere/ l'heure est venue: clarifie ton filz/ affin que
ton filz te clarifie/ ainsi cõme tu luy as dõne puis¬	ton filz te clarifie/ ainsi comme tu luy as donne puis¬
sãce sur toute chair. Ieh.17.a. Ieh.13.a.	sance sur toute chair. Jeh.17.a. Jeh.13.a.
Dieu la exalte/ ⁊ luy a dõne le nom/ lequel est	Dieu l'a exalte/ et luy a donne le nom/ lequel est
sur tout nom: affin que au nom de Iesus/ tout ge-	sur tout nom: affin que au nom de Jesus/ tout ge¬
nouil soit flechy de ceux qui sõt aux cieux et qͥ sõt	nouil soit flechy de ceux qui somt aux cieux et qui sont
en la terre ⁊ aux enfers: ⁊ toute langue cõfesse que	en la terre et aux enfers: et toute langue confesse que
nostre Seigñr est Iesus Christ/ a la gloire de dieu	nostre Seigneur est Jesus Christ/ a la gloire de dieu
le pere. Philip.2.b.	le pere. Philip.2.b.
Il faut q̃ il regne/ iusq̃ a ce quil mette tous ses	Il faut que il regne/ jusque a ce qu'il mette tous ses
ennemys soubz ses piedz. Et au dernier la mort en¬	ennemys soubz ses piedz. Et au dernier la mort en¬
nemye sera destruicte. Car il a assubiecty toutes	nemye sera destruicte. Car il a assubjecty toutes
choses soubz ses piedz. 1.Corin.15.d. Heb.2.b.	choses soubz ses piedz. 1.Corin.15.d. Heb.2.b.
Cõstituãt a sa dextre aux lieux celestes sur tou	Constituant a sa dextre aux lieux celestes sur tou¬
te principaute/ ⁊ puissance/ ⁊ uertu/ ⁊ domination/	te principaute/ et puissance/ et vertu/ et domination/
⁊ tout nom lequel est nomme: non seulement en ce	et tout nom lequel est nomme: non seulement en ce
siecle/ mais aussi en celuy qͥ est a aduenir. Et il a	siecle/ mais aussi en celuy qui est a advenir. Et il a
assubiecty toutes choses soubz les piedz diceluy/	assubjecty toutes choses soubz les piedz d'iceluy/
⁊ la constitue chief sur toute leglise/ laquelle est	et la constitue chief sur toute l'eglise/ laquelle est
le corps diceluy/ et la plenitude de celuy qui est	le corps d'iceluy/ et la plenitude de celuy qui est
laccomplissement de toutes choses en toutes.	l'accomplissement de toutes choses en toutes.
Ephesi.1.d.	Ephesi.1.d.
En luy toute plenitude de diuinite abõde corpo¬	En luy toute plenitude de divinite abonde corpo¬
rellement: ⁊ estes remplis en luy qui est le chief de	rellement: et estes remplis en luy qui est le chief de
toute principaute ⁊ puissance. Colos.2.b.	toute principaute et puissance. Colos.2.b.
Conceu du sainct esperit.	Conceu du sainct esperit.
Le sainct esperit suruiẽdra en toy/ ⁊ la uertu du	Le sainct esperit surviendra en toy/ et la vertu du
treshaut sera obumbree en toy. Luc.1.d.	tres haut sera obumbree en toy. Luc.1.d.
Ce qͥ est ꝯceu en elle/ est du saĩct esperit. Mat.1.c.	Ce qui est conceu en elle/ est du sainct esperit. Mat.1.c.
Nay de la uierge Marie.	Nay de la vierge Marie.
Uoicy la uierge conceuera/ ⁊ enfantera un en¬	Voicy la vierge concevera/ et enfantera un en¬
fant. Isa.7.c. Mat.1.d. Luc.2.c.	fant. Isa.7.c. Mat.1.d. Luc.2.c.
Quãd lacõplissement du tẽps fut uenu/ Dieu	Quand l'acomplissement du temps fut venu/ Dieu
enuoya son filz/ faict de la femme. Gał.4.a.	envoya son filz/ faict de la femme. Gał.4.a.
Ayãt souffert soubz Põce Pilate ⁊c.	Ayant souffert soubz Ponce Pilate etc.
Ueritablemẽt Herode ⁊ Ponce Pilate auec les	Veritablement Herode et Ponce Pilate avec les
gẽtilz ⁊ les peuples Disrael ont cõuenu alencõtre	gentilz et les peuples D'israel ont convenu a l'encontre
de ton sainct filz Iesus. Act.4.f. Mat.27.d.	de ton sainct filz Jesus. Act.4.f. Mat.27.d.
Lequel a rendu tesmoignage soubz Ponce Pi¬	Lequel a rendu tesmoignage soubz Ponce Pi¬
late/ bonne confession. 1.Timo.6.c.	late/ bonne confession. 1.Timo.6.c.
Ueritablemẽt il a prins sur soy noz infirmitez/	Veritablement il a prins sur soy noz infirmitez/
⁊ a porte noz doleurs. Isa.53.d. Mat.8.d.	et a porte noz doleurs. Isa.53.d. Mat.8.d.
Il failloit que Christ souffrit. Luc.24.g.	Il failloit que Christ souffrit. Luc.24.g.
Pilate leur dit: Crucifieray ie uostre roy: Les	Pilate leur dit: Crucifieray je vostre roy: Les
euesq̃s respõdirẽt. Nous nauõs point de roy/ sinõ	evesques respondirent. Nous n'avons point de roy/ sinon
Cesar. Alors dõc il leur liura iceluy pour le cruci¬	Cesar. Alors donc il leur livra iceluy pour le cruci¬
fier. Et ilz prindrent Iesus ⁊ le menerẽt dehors. Et	fier. Et ilz prindrent Jesus et le menerent dehors. Et
luy portãt la croix ⁊c. Iehã.19.d. Mat.27.d.	luy portant la croix etc. Jehã.19.d. Mat.27.d.
Certes Dieu demõstre fort sa charite uers noꝰ/	Certes Dieu demonstre fort sa charite vers nous/
en ce que quãd nous estiõs encore pecheurs Christ	en ce que quand nous estions encore pecheurs Christ
est mort pour nous. Ro.5.b.	est mort pour nous. Ro.5.b.
Christ a souffert pour nous/ nous delaissant	Christ a souffert pour nous/ nous delaissant
exẽple/ affin que ensuyuiez ses pas. 1.Pier.2.d.	exemple/ affin que ensuyviez ses pas. 1.Pier.2.d.
Christ est mort une foys poͬ noz pechez/ le iuste	Christ est mort une foys pour noz pechez/ le juste
poͬ les iniustes/ affin qͥl noꝰ offrit a dieu/ mortifiez	pour les injustes/ affin qu'il nous offrit a dieu/ mortifiez
certes en chair/ mais uiuifiez en esperit. 1.Pier.3.c.	certes en chair/ mais vivifiez en esperit. 1.Pier.3.c.
Christ est mort pour tous/ affin que ceux qui ui	Christ est mort pour tous/ affin que ceux qui vi¬
uent ne uiuẽt plus a eux/ mais a celuy qͥ est mort	vent ne vivent plus a eux/ mais a celuy qui est mort
pour eux. 2.Corin.5.c. 1.Pierre.4.a.	pour eux. 2.Corin.5.c. 1.Pierre.4.a.
Ioseph le print/ et le enueloppa de ung linceul	Joseph le print/ et le enveloppa de ung linceul
net/ ⁊ le mist en son monumẽt neuf/ lequel il auoit	net/ et le mist en son monument neuf/ lequel il avoit
entaille en la pierre. Mat.27.g. Ieh.19.g. Act.13.e.	entaille en la pierre. Mat.27.g. Jeh.19.g. Act.13.e.
Christ est mort pour noz pechez/ il a este enseue¬	Christ est mort pour noz pechez/ il a este enseve¬
ly/ et a este resuscite au troysiesme iour selon les	ly/ et a este resuscite au troysiesme jour selon les
escriptures. 1.Corin.15.a.	escriptures. 1.Corin.15.a.
Sẽtez en uous ce qui a este en Iesus Christ: leq̃l	Sentez en vous ce qui a este en Jesus Christ: lequel
cõme ainsi fust quil estoit en la forme de Dieu/ na	comme ainsi fust qu'il estoit en la forme de Dieu/ n'a
point repute larcin estre esgal a Dieu: mais il sest	point repute larcin estre esgal a Dieu: mais il s'est
aneanty soymesme/ prenant la forme du seruiteur	aneanty soymesme/ prenant la forme du serviteur
faict en la similitude des hõmes/ ⁊ trouue en appa	faict en la similitude des hommes/ et trouve en appa¬
rẽce cõme hõme. Il sest humilie soymesme ⁊ a este	rence comme homme. Il s'est humilie soymesme et a este
faict obedient iusque a la mort/ uoire la mort de	faict obedient jusque a la mort/ voire la mort de
la croix. Philip.2.a.	la croix. Philip.2.a.
Le tiers iour resuscite	Le tiers jour resuscite
des mortz.	des mortz.
Ainsi cõme Ionas fut au uentre de la baleine	Ainsi comme Jonas fut au ventre de la baleine
troys iours ⁊ troys nuyctz: ainsi sera le filz de lhõ-	troys jours et troys nuyctz: ainsi sera le filz de l'hom¬
me au coeur de la terre/ troys iours ⁊ troys nuictz.	me au coeur de la terre/ troys jours et troys nuictz.
Mat.12.e. Luc.11.d.	Mat.12.e. Luc.11.d.
Luy preuoiãt a parle de la resurrectiõ de Christ/	Luy prevoiant a parle de la resurrection de Christ/
que il na point este de laisse en enfer/ ⁊ sa chair na	que il n'a point este de laisse en enfer/ et sa chair n'a
point ueu corruption. Act.2.d.13.e. Psal.16.d.	point veu corruption. Act.2.d.13.e. Psal.16.d.
Il nest point icy/ car il est resuscite. Mat.28.a.	Il n'est point icy/ car il est resuscite. Mat.28.a.
Dieu la resuscite des mortz/ ⁊ luy a dõne gloi¬	Dieu l'a resuscite des mortz/ et luy a donne gloi¬
re/ affin que uous eussiez foy et esperance enuers	re/ affin que vous eussiez foy et esperance envers
Dieu. 1.Pierre.1.d.	Dieu. 1.Pierre.1.d.
Lequel est le cõmencement/ le premier nay des	Lequel est le commencement/ le premier nay des
mortz: affin quil soit tenant le premier lieu en tou¬	mortz: affin qu'il soit tenant le premier lieu en tou¬
tes choses. Colos.1.c. 1.Corin.15.c. Ro.1.a.8.g.	tes choses. Colos.1.c. 1.Corin.15.c. Ro.1.a.8.g.
Il a este liure pour noz pechez/ et a este resuscite	Il a este livre pour noz pechez/ et a este resuscite
pour nostre iustification. Ro.4.d.	pour nostre justification. Ro.4.d.
Cõme Christ est resuscite des mortz par la gloi¬	Comme Christ est resuscite des mortz par la gloi¬
re du pere/ pareillement aussi nous cheminons en	re du pere/ pareillement aussi nous cheminons en
nouuellete de uie. Ro.6.a.	nouvellete de vie. Ro.6.a.
Beneit soit Dieu ⁊ le pere de nr̃e Seigñr Iesus	Beneit soit Dieu et le pere de nostre Seigneur Jesus
Christ/ qͥ selõ sa grãde misericorde noꝰ a regenerez	Christ/ qui selon sa grande misericorde nous a regenerez
en esperãce uiue par la resurrectiõ de Iesus Christ	en esperance vive par la resurrection de Jesus Christ
des mortz/ a lheritage ĩcorruptible ⁊c. 1.Pe.1.a.3.d.	des mortz/ a l'heritage incorruptible etc. 1.Pe.1.a.3.d.
Monte aux cieux ⁊c.	Monte aux cieux etc.
Nul nest mõte au ciel/ sinon le filz de lhõme qui	Nul n'est monte au ciel/ sinon le filz de l'homme qui
est descendu du ciel. Iehã.3.b.	est descendu du ciel. Jehã.3.b.
Il a monte en hault/ il a prins la captiuite qui	Il a monte en hault/ il a prins la captivite qui
estoit prisonniere/ il a donne dons aux hommes.	estoit prisonniere/ il a donne dons aux hommes.
Ephe.4.b. Psal.67.d.	Ephe.4.b. Psal.67.d.
Et apres que le Seigñr Iesus eut parle a eux/	Et apres que le Seigneur Jesus eut parle a eux/
il fut receu au ciel/ et se sied a la dextre de Dieu.	il fut receu au ciel/ et se sied a la dextre de Dieu.
Marc.16.d. Luc.24.g.	Marc.16.d. Luc.24.g.
Et quãd il eut dit ces choses/ il fut esleue/ iceux	Et quand il eut dit ces choses/ il fut esleve/ iceux
le uoyãs/ ⁊ une nuee labscõsa de leͬs yeux. Cestuy	le voyans/ et une nuee l'absconsa de leurs yeux. Cestuy
Iesus qui est receu dauec uous au ciel: uiẽdra ainsi	Jesus qui est receu d'avec vous au ciel: viendra ainsi
cõme lauez ueu aller au ciel. Act.1.a.	comme l'avez veu aller au ciel. Act.1.a.
Dauid nest point monte au ciel/ mais il dit: Le	David n'est point monte au ciel/ mais il dit: Le
Seigneur dit a mon Seigñr: Siedz a ma dextre/	Seigneur dit a mon Seigneur: Siedz a ma dextre/
iusque a ce que ie mette tes ennemys la scabelle de	jusque a ce que je mette tes ennemys la scabelle de
tes piedz. Act.2.f. Hebr.1.a.	tes piedz. Act.2.f. Hebr.1.a.
Nous auõs tel euesque/ qui est assis a la dextre	Nous avons tel evesque/ qui est assis a la dextre
du thrõne de maieste eis cieux. Heb.8.a.	du thronne de majeste eis cieux. Heb.8.a.
Lequel est a la dextre de Dieu/ monte au ciel/	Lequel est a la dextre de Dieu/ monte au ciel/
auq̃l sont subiectz les anges/ les potestes ⁊ uertus.	auquel sont subjectz les anges/ les potestes et vertus.
1.Pierre.3.d. Ephe.1.d.	1.Pierre.3.d. Ephe.1.d.
Il sied a la dextre du thrõne de Dieu. Heb.12.a.	Il sied a la dextre du thronne de Dieu. Heb.12.a.
Cestuy offrãt un sacrifice poͬ les pechez/ est assis	Cestuy offrant un sacrifice pour les pechez/ est assis
eternellemẽt a la dextre de Dieu: du surplus iusq̃	eternellement a la dextre de Dieu: du surplus jusque
a ce que ses ennemys soyent mis la scabelle de ses	a ce que ses ennemys soyent mis la scabelle de ses
piedz. Hebr.10.c. 1.Corin.15.d.	piedz. Hebr.10.c. 1.Corin.15.d.
Il faut q̃ le ciel recoyue Christ/ iusque au tẽps	Il faut que le ciel recoyve Christ/ jusque au temps
de la restitution de toutes les choses. Act.3.d.	de la restitution de toutes les choses. Act.3.d.
Iesus nest point entre aux sainctuaires faictz	Jesus n'est point entre aux sainctuaires faictz
des mains/ figures des urays: mais au ciel mesme/	des mains/ figures des vrays: mais au ciel mesme/
affin q̃ maintenãt il apparoisse pour nous deuant	affin que maintenant il apparoisse pour nous devant
la face de Dieu. Heb.9.f. Ro.8.g.	la face de Dieu. Heb.9.f. Ro.8.g.
Celuy qui est descendu/ cest celuy aussi qui est	Celuy qui est descendu/ c'est celuy aussi qui est
monte sur tous les cieux/ affin quil emplit toutes	monte sur tous les cieux/ affin qu'il emplit toutes
choses. Ephes.4.b. Heb.7.d.	choses. Ephes.4.b. Heb.7.d.
Se uous estes resuscitez auec Christ/ cerchez les	Se vous estes resuscitez avec Christ/ cerchez les
choses qui sont denhaut ou Christ est seand a la	choses qui sont d'enhaut ou Christ est seand a la
dextre de Dieu. Col.3.a.	dextre de Dieu. Col.3.a.
Se aucun uous dit: uoicy icy est Christ/ ou la/	Se aucun vous dit: voicy icy est Christ/ ou la/
ne le croyez point. Car faux Christz ⁊ faux pro¬	ne le croyez point. Car faux Christz et faux pro¬
phetes se esleuerõt/ ⁊ ferõt grandz signes et prodi¬	phetes se esleveront/ et feront grandz signes et prodi¬
ges/ tellemẽt que les esleux seront induis a erreur/	ges/ tellement que les esleux seront induis a erreur/
se il est possible. Uoicy ie le uoꝰ ay predit. Si dõc	se il est possible. Voicy je le vous ay predit. Si donc
il uous disent: Uoicy il est au desert/ ne y allez	il vous disent: Voicy il est au desert/ ne y allez
point. Uoicy il est au dedans de la maison/ ne le	point. Voicy il est au dedans de la maison/ ne le
croyez point. Car ainsi que lesclair sort de Oriẽt/	croyez point. Car ainsi que l'esclair sort de Orient/
⁊ apparoit iusque en Occidẽt/ ainsi sera aussi lad¬	et apparoit jusque en Occident/ ainsi sera aussi l'ad¬
uenement du filz de lhõme. Matth.24.b. Marc	venement du filz de l'homme. Matth.24.b. Marc
13.c. Luc.17.e. ⁊. 21.c.	13.c. Luc.17.e. et. 21.c.
Dont uiendra iuger ⁊c.	Dont viendra juger etc.
Nul ne uous seduise. Car le Seigñr ne uiẽdra	Nul ne vous seduise. Car le Seigneur ne viendra
point q̃ premieremẽt ne soit uenue la defaillance/ ⁊	point que premierement ne soit venue la defaillance/ et
lhõme de peche soit reuele/ le filz de perdition qͥ est	l'homme de peche soit revele/ le filz de perdition qui est
aduersaire/ ⁊ se eslieue sur tout ce qui est dit Dieu/	adversaire/ et se eslieve sur tout ce qui est dit Dieu/
ou que on adore: ⁊ en telle maniere quil se sied au	ou que on adore: et en telle maniere qu'il se sied au
temple de Dieu/ se mõstrant cõme sil estoit Dieu.	temple de Dieu/ se monstrant comme s'il estoit Dieu.
2.Thessalo.2.a.	2.Thessalo.2.a.
Ainsi quil est ordõne aux hommes de mourir	Ainsi qu'il est ordonne aux hommes de mourir
une foys/ ⁊ apres ce le iugemẽt/ ainsi aussi Christ	une foys/ et apres ce le jugement/ ainsi aussi Christ
a este offert une foys pour abolir les pechez de plu	a este offert une foys pour abolir les pechez de plu¬
sieurs/ ⁊ il apparoistra secondemẽt sans peche/ a	sieurs/ et il apparoistra secondement sans peche/ a
tous ceux qui lattendent en salut. Heb.9.g.	tous ceux qui l'attendent en salut. Heb.9.g.
Si ie men uoys uous preparer le lieu: ie retour	Si je m'en voys vous preparer le lieu: je retour¬
neray de rechief/ ⁊ uous receuray moymesme/ affin	neray de rechief/ et vous recevray moymesme/ affin
que uous soyez la ou ie suis. Iehã.14.a.	que vous soyez la ou je suis. Jehã.14.a.
Il auoit este cõstitue de Dieu/ iuge des uifz et	Il avoit este constitue de Dieu/ juge des vifz et
des mortz. Act̃.10.f.	des mortz. Act̃.10.f.
Le pere ne iuge persõne/ mais il a baille au filz	Le pere ne juge personne/ mais il a baille au filz
tout iugement/ affin que tous hõnorent le filz/ cõe	tout jugement/ affin que tous honnorent le filz/ comme
ilz hõnorent le pere. Il luy a baille puissance de	ilz honnorent le pere. Il luy a baille puissance de
iuger: car il est le filz de lhõme. Iehã.5.d.	juger: car il est le filz de l'homme. Jehã.5.d.
A ce est mort ⁊ resuscite Christ/ affin quil ayt	A ce est mort et resuscite Christ/ affin qu'il ayt
seigneurie/ ⁊ sur les uiuãs ⁊ sur les mortz ⁊c. Noꝰ	seigneurie/ et sur les vivans et sur les mortz etc. Nous
tous assisterõs deuãt le siege iudicial de Christ ⁊c.	tous assisterons devant le siege judicial de Christ etc.
Chascun de nous rendra compte a dieu pour soy.	Chascun de nous rendra compte a dieu pour soy.
Rom̃.14.b.	Rom̃.14.b.
Il nous faut tous estre manifestes deuãt le sie-	Il nous faut tous estre manifestes devant le sie¬
ge iudicial de Christ/ affin que un chascun recoiue	ge judicial de Christ/ affin que un chascun recoive
les propres choses du corps/ ainsi quil a faict: soit	les propres choses du corps/ ainsi qu'il a faict: soit
bien/ soit mal. 2.Corin.5.b.	bien/ soit mal. 2.Corin.5.b.
Du surplus la courõne de iustice mest gardee/	Du surplus la couronne de justice m'est gardee/
laquelle me rendra le Seigñr dieu iuste iuge/ en ce	laquelle me rendra le Seigneur dieu juste juge/ en ce
iour la: Et non seulement a moy/ mais aussi a	jour la: Et non seulement a moy/ mais aussi a
ceux qui ayment son aduenement. 2.Timo.4.b.	ceux qui ayment son advenement. 2.Timo.4.b.
Uoyez la similitude) Mat.25.a. Itẽ. 2.Thes¬	Voyez la similitude) Mat.25.a. Item. 2.Thes¬
salo.2.a. 1.Thes.4.d. Ro.2.a.b. 2.Pe.3.b. Iud.1.g.	salo.2.a. 1.Thes.4.d. Ro.2.a.b. 2.Pe.3.b. Jud.1.g.
¶ Ie croy au sainct esperit.	¶ Je croy au sainct esperit.
Son esperit a pare les cieux. Iob.26.d.	Son esperit a pare les cieux. Job.26.d.
Ie espãdray de mon esperit sur toute chair. Ioel	Je espandray de mon esperit sur toute chair. Joel
2.g. Act̃.2.c.	2.g. Act̃.2.c.
Ie uous enuoyeray la ꝓmesse du pere en uous:	Je vous envoyeray la promesse du pere en vous:
⁊ uous/ demourez en la cite de Hierusalem: iusque	et vous/ demourez en la cite de Hierusalem: jusque
a ce que uous soyez reuestus de la uertu denhaut.	a ce que vous soyez revestus de la vertu d'enhaut.
Luc.24.g.	Luc.24.g.
Et les auoir assemblez en un mesme lieu leur	Et les avoir assemblez en un mesme lieu leur
commanda quilz ne departissent point de Hieru¬	commanda qu'ilz ne departissent point de Hieru¬
salem: mais quilz attendissent la promesse du pe¬	salem: mais qu'ilz attendissent la promesse du pe¬
re/ de laquelle (dit il) uous auez ouy de moy. Car	re/ de laquelle (dit il) vous avez ouy de moy. Car
certes Iehan a baptise deaue: et uous serez un	certes Jehan a baptise d'eaue: et vous serez un
peu apres ces iours/ baptisez du sainct esperit.	peu apres ces jours/ baptisez du sainct esperit.
Actes.1.a.	Actes.1.a.
Si uous me aymez: gardez mes commande¬	Si vous me aymez: gardez mes commande¬
mens. Et ie prieray mon pere: et il uous don¬	mens. Et je prieray mon pere: et il vous don¬
nera lautre consolateur/ pour demourer auec	nera l'autre consolateur/ pour demourer avec
uous eternellement/ qui est lesperit de uerite:	vous eternellement/ qui est l'esperit de verite:
lequel le monde ne poeut receuoir: car il ne le	lequel le monde ne poeut recevoir: car il ne le
uoit point/ et si ne le congnoist point: mais uous	voit point/ et si ne le congnoist point: mais vous
le congnoissez: car il demoure auec uous/ ⁊ sera	le congnoissez: car il demoure avec vous/ et sera
en uous. Iehan.14.c.	en vous. Jehan.14.c.
Le consolateur/ qui est le sainct esperit (lequel le	Le consolateur/ qui est le sainct esperit (lequel le
pere enuoyera en mon nom) iceluy uous enseigne¬	pere envoyera en mon nom) iceluy vous enseigne¬
ra toutes choses/ ⁊ uous reduira en memoire tou¬	ra toutes choses/ et vous reduira en memoire tou¬
tes les choses lesquelles ie uous ay dictes. Ie¬	tes les choses lesquelles je vous ay dictes. Je¬
han.14.d.	han.14.d.
Quant le consolateur sera uenu/ lequel ie	Quant le consolateur sera venu/ lequel je
uous enuoyeray de mon pere/ lesperit de uerite	vous envoyeray de mon pere/ l'esperit de verite
qui procede du pere/ iceluy rendra tesmoignage	qui procede du pere/ iceluy rendra tesmoignage
de moy. Et uous en rendrez tesmoignage: car	de moy. Et vous en rendrez tesmoignage: car
uous estes des le commencement auec moy. Ie¬	vous estes des le commencement avec moy. Je¬
han.15.d.	han.15.d.
Si ie ne men uoys: le consolateur ne uiendra	Si je ne m'en voys: le consolateur ne viendra
point a uous. Et se ie men uoys/ ie le uous en¬	point a vous. Et se je m'en voys/ je le vous en¬
uoyeray. Et quand iceluy sera uenu: il repren¬	voyeray. Et quand iceluy sera venu: il repren¬
dra le monde de peche/ et de iustice/ et de iuge¬	dra le monde de peche/ et de justice/ et de juge¬
ment. De peche certes: pour ce quil ne ont point	ment. De peche certes: pour ce qu'il ne ont point
creu en moy. Et de iustice: car ie men uoys a	creu en moy. Et de justice: car je m'en voys a
