¶ Sũmaire/ ⁊ briefue	¶ Summaire/ et briefve
demẽtz/ faisant bien a tous/ ⁊ mal	dementz/ faisant bien a tous/ et mal
a nully/ aymant tous/ priant pour	a nully/ aymant tous/ priant pour
gnoissance de uerite/ par une gran	gnoissance de verite/ par une gran¬
de affection quil a enuers Dieu/ cõ	de affection qu’il a envers Dieu/ com¬
me loyal ⁊ uray filz enuers son pe¬	me loyal et vray filz envers son pe¬
re tresbõ ⁊ tressaige/ ne prenãt plai¬	re tres bon et tres saige/ ne prenant plai¬
a lhõneur du pere. Non point pour	a l’honneur du pere. Non point pour
loyer quil en attende (cõbien que	loyer qu’il en attende (combien que
personne ne peult estimer le bien de	personne ne peult estimer le bien de
lheritage que Dieu donne a ses en¬	l’heritage que Dieu donne a ses en¬
cẽnaire. Ne pour crainte des peines	cennaire. Ne pour crainte des peines
qui doiuẽt uenir sur ceulx qͥ ne font	qui doivent venir sur ceulx qui ne font
la uolunte de Dieu/ car ce seroit cõ	la volunte de Dieu/ car ce seroit com¬
me serf. Mais sont faictes les bon¬	me serf. Mais sont faictes les bon¬
(non point controuuees des hões)	(non point controuvees des homes)
par uraye liberte desperit sãs auoir	par vraye liberte d’esperit sans avoir
nul esgard que a la seule gloire de	nul esgard que a la seule gloire de
Dieu/ ⁊ a son hõneur. Car tout biẽ/	Dieu/ et a son honneur. Car tout bien/
Iesuchrist/ ⁊ non par autre chose.	Jesuchrist/ et non par autre chose.
Chascun aduise ses oeuures/ sil ya	Chascun advise ses oeuvres/ s’il y a
autre regard que lhõneur de Dieu.	autre regard que l’honneur de Dieu.
¶ De ieune. Chap̃.xxiii.	¶ De jeune. Chapitre.xxiii.
A ieune que nostre Seigͬ	A jeune que nostre Seigneur
demãde est rõpre tous les	demande est rompre tous les
liẽs de mauuaistie/ ⁊ tout	liens de mauvaistie/ et tout
ce poͬquoy on tiẽt sõ pro¬	ce pourquoy on tient son pro¬
ger a celuy qͥ a faim. Logeãt ceulx	ger a celuy qui a faim. Logeant ceulx
qui nont logis/ uestant les nudz/	qui n’ont logis/ vestant les nudz/
ayant pitie de ceulx qui nous sont	ayant pitie de ceulx qui nous sont
semblables ⁊ une mesme chair cõ¬	semblables et une mesme chair com¬
Ceste ieune est aggreable a dieu/	Ceste jeune est aggreable a dieu/
⁊ fort proffitable a beaucop/ uoire	et fort proffitable a beaucop/ voire
a tout. Mais lautre qui est exer¬	a tout. Mais l’autre qui est exer¬
cice corporel proffite a peu au pris	cice corporel proffite a peu au pris
reduire la chair en seruitude en la	reduire la chair en servitude en la
mortifiãt par substraction des uiã	mortifiant par substraction des vian¬
des/ laquelle ieune nest en la main	des/ laquelle jeune n’est en la main
de persõne pour en disposer ⁊ ordõ¬	de personne pour en disposer et ordon¬
a lesperit de Dieu) cõgnoit quand	a l’esperit de Dieu) congnoit quand
il fault affliger le corps ⁊ cõment:	il fault affliger le corps et comment:
non point tãt en electiõ ⁊ distinctiõ	non point tant en election et distinction
de uiandes/ ne de temps certain de	de viandes/ ne de temps certain de
⁊ moins souuent/ selon ce qͥl est ex¬	et moins souvent/ selon ce qu’il est ex¬
pedient/ sans greuer nature/ affin	pedient/ sans grever nature/ affin
quon puisse seruir a son prochain.	qu’on puisse servir a son prochain.
Car le pere ⁊ la mere qui font telle	Car le pere et la mere qui font telle
uent deumẽt gaigner la uie de leͬs	vent deument gaigner la vie de leurs
enfans/ point ne ieunẽt: mais tuẽt	enfans/ point ne jeunent: mais tuent
leurs enfans. Ainsi le seruiteur ou	leurs enfans. Ainsi le serviteur ou
ouurier qui ne faict ce qͥl doibt fai¬	ouvrier qui ne faict ce qu’il doibt fai¬
tant nostre Seigñr na point dõne	tant nostre Seigneur n’a point donne
de loy/ de ieune/ ne de tẽps: ains noꝰ	de loy/ de jeune/ ne de temps: ains nous
cõmande de uiure sobrement/ pour	commande de vivre sobrement/ pour
luy seruir/ ⁊ ayder a nostre ꝓchain	luy servir/ et ayder a nostre prochain
Ceulx qui se disent chefz de legli	Ceulx qui se disent chefz de l’egli¬
se ont mis grosses charges ⁊ impor	se ont mis grosses charges et impor¬
tables sur les paoures gens pour	tables sur les paovres gens pour
fouler le peuple/ lesq̃lles ne ueulẽt	fouler le peuple/ lesquelles ne veulent
fut il quilz ieunassent ung iour/ cõ	fut il qu’ilz jeunassent ung jour/ com¬
me ilz le cõmandẽt/ en trauaillant	me ilz le commandent/ en travaillant
comme faict celuy qui de sa sueur	comme faict celuy qui de sa sueur
nourrist sa famille/ ilz appren¬	nourrist sa famille/ ilz appren¬
des/ et aussi de ne commander ieu¬	des/ et aussi de ne commander jeu¬
nes: mais tant seulemẽt ce q̃ Dieu	nes: mais tant seulement ce que Dieu
commande ⁊ deffend/ sans charger	commande et deffend/ sans charger
autres charges/ donnãt cõsolation	autres charges/ donnant consolation
affliger. Mais il a fallu q̃ ainsi	affliger. Mais il a fallu que ainsi
que Iesus est uenu poͬ alleger les	que Jesus est venu pour alleger les
chargez/ soulager les lassez et tra¬	chargez/ soulager les lassez et tra¬
uaillez: aĩsi sõ aduersaire aggraue	vaillez: ainsi son adversaire aggrave
trauail aux lassez.	travail aux lassez.
¶ De priere ⁊ oraison.	¶ De priere et oraison.
Chapitre.xxiiii.	Chapitre.xxiiii.
O	O¬
ler auec Dieu/ auquel lhõ	ler avec Dieu/ auquel l’hom¬
me ne scait quil doit dire	me ne scait qu’il doit dire
ne demãder: mais lesperit	ne demander: mais l’esperit
qui est es fideles par grãdz gemis¬	qui est es fideles par grandz gemis¬
pour nous.	pour nous.
En loraison la bouche nest ia re¬	En l’oraison la bouche n’est ja re¬
quise q̃lle parle: mais le coeur seule	quise quelle parle: mais le coeur seule¬
ment. Car ce q̃ nostre Seigͬ Iesus	ment. Car ce que nostre Seigneur Jesus
nous deuons dire: Nostre pere qͥ es	nous devons dire: Nostre pere qui es
es cieulx ⁊c. Ce nest poĩt quõ die	es cieulx etc. Ce n’est point qu’on die
tant seulemẽt de bouche ces parol¬	tant seulement de bouche ces parol¬
les/ ⁊ q̃ par icelles nous ayons ce q̃	les/ et que par icelles nous ayons ce que
superstition de enchanteurs) mais	superstition de enchanteurs) mais
cest affin quen nostre coeur nous ne	c’est affin qu’en nostre coeur nous ne
pensions de Dieu sinon cõme ceste	pensions de Dieu sinon comme ceste
tresbelle oraison porte/ qͥl est nostre	tres belle oraison porte/ qu’il est nostre
ce nous allions a luy/ leuantz noz	ce nous allions a luy/ levantz noz
coeurs aux choses celestes/ deman¬	coeurs aux choses celestes/ deman¬
dantz seulemẽt ce quest contenu en	dantz seulement ce qu’est contenu en
ceste tressaincte priere. Affin q̃ enten	ceste tres saincte priere. Affin que enten¬
nest contenu en icelle/ nest point se¬	n’est contenu en icelle/ n’est point se¬
lon Dieu.	lon Dieu.
Et de la uiẽt que toutes les prie	Et de la vient que toutes les prie¬
res des prophetes ⁊ sainctz menez	res des prophetes et sainctz menez
est demande en ceste oraison. Il	est demande en ceste oraison. Il
fault donc que nostre coeur sadresse	fault donc que nostre coeur s’adresse
a Dieu cõme a nostre bon pere/ ⁊ qͥl	a Dieu comme a nostre bon pere/ et qu’il
prie iceluy seul. Car la priere est le	prie iceluy seul. Car la priere est le
on donne hõneur ⁊ gloire a Dieu/	on donne honneur et gloire a Dieu/
cest que luy seul nous a peu ayder.	c’est que luy seul nous a peu ayder.
Et pourtant il ueult estre honno¬	Et pourtant il veult estre honno¬
re de cestuy hõneur/ ⁊ ne ueult quil	re de cestuy honneur/ et ne veult qu’il
par son premier commandement.	par son premier commandement.
Cest donc grosse idolatrie ⁊ fort	C’est donc grosse idolatrie et fort
desplaisante a Dieu quon recoure	desplaisante a Dieu qu’on recoure
a autre que a luy. Car cela uiẽt par	a autre que a luy. Car cela vient par
ricorde/ cõme sil y en auoit de meil¬	ricorde/ comme s’il y en avoit de meil¬
leurs ⁊ plus misericordieux q̃ luy/	leurs et plus misericordieux que luy/
ou de sa puissance ⁊ sagesse/ comme	ou de sa puissance et sagesse/ comme
sil ne pouoit ou scauoit nous ay¬	s’il ne povoit ou scauvit nous ay¬
ceste ĩfidelite ⁊ deffiãce par soymes¬	ceste infidelite et deffiance par soymes¬
me habitant pleinemẽt en son filz/	me habitant pleinement en son filz/
il nous a rachepte/ il nous a sauuez	il nous a rachepte/ il nous a sauvez
⁊ guaris de tous noz maulx.	et guaris de tous noz maulx.
son ne soit tournee en peche/ cõmet¬	son ne soit tournee en peche/ commet¬
tant idolatrie en priant autre que	tant idolatrie en priant autre que
Dieu. Ne priãt aussi deuãt le mon	Dieu. Ne priant aussi devant le mon¬
de pour estre ueu/ ne barbottãt/ ne	de pour estre veu/ ne barbottant/ ne
de affection/ ⁊ peu de parolles/ tel¬	de affection/ et peu de parolles/ tel¬
lemẽt que la langue cesse beaucoup	lement que la langue cesse beaucoup
plus tost que le coeur: ⁊ quelle com¬	plus tost que le coeur: et qu’elle com¬
mence a parler long temps apres le	mence a parler long temps apres le
le pour prier/ si le coeur nest auec	le pour prier/ si le coeur n’est avec
Dieu. Car il fault regarder la di¬	Dieu. Car il fault regarder la di¬
gnite de celuy a qͥ on parle/ ⁊ ce quõ	gnite de celuy a qui on parle/ et ce qu’on
luy dit: car sur tout il hayt hypocri¬	luy dit: car sur tout il hayt hypocri¬
le royaume de Dieu quil regne en	le royaume de Dieu qu’il regne en
nous destruisant tout peche/ met¬	nous destruisant tout peche/ met¬
tant sa iustice en nous/ ⁊ rien ne	tant sa justice en nous/ et rien ne
nous fauldra.	nous fauldra.
A	A¬
Ulmosne/ est misericor¬	Ulmosne/ est misericor¬
de ⁊ cõpassion/ quãd les	de et compassion/ quand les
entrailles esmues de pi¬	entrailles esmues de pi¬
cessite quon uoit en ung autre/ luy	cessite qu’on voit en ung autre/ luy
secourant ⁊ aydant. Comme si le	secourant et aydant. Comme si le
pere uoyãt son filz en grosse necessi	pere voyant son filz en grosse necessi¬
te/ son coeur ⁊ ses entrailles esmeuz	te/ son coeur et ses entrailles esmeuz
soubdain il ayde ⁊ secourt a sõ filz.	soubdain il ayde et secourt a son filz.
Et aussi la mere a son enfãt: telle¬	Et aussi la mere a son enfant: telle¬
mẽt eschauffee q̃lle passeroit parmy	ment eschauffee qu’elle passeroit parmy
le feu ⁊ ses ennemys pour le secou¬	le feu et ses ennemys pour le secou¬
re/ de amy a amy.	re/ de amy a amy.
Ceste misericorde ⁊ affectiõ tres¬	Ceste misericorde et affection tres¬
affectueuse ⁊ ardẽte est attribuee a	affectueuse et ardente est attribuee a
Dieu par lescripture/ en laquelle il	Dieu par l’escripture/ en laquelle il
dif a ire/ prompt a pitie. Lequel de¬	dif a ire/ prompt a pitie. Lequel de¬
mandãt/ si la femme peult oublier	mandant/ si la femme peult oublier
son filz sans en auoir pitie ne com¬	son filz sans en avoir pitie ne com¬
passiõ/ aussi si la mere nourrisse sõ	passion/ aussi si la mere nourrisse son
en son uentre: dit/ cõbien quelle lou	en son ventre: dit/ combien qu’elle l’ou¬
blie neantmoins ie ne te oublieray	blie neantmoins je ne te oublieray
point. Ce quil a bien mõstre uoyãt	point. Ce qu’il a bien monstre voyant
nostre tresgrande misere ⁊ paoure¬	nostre tres grande misere et paovre¬
q̃ nous estiõs ses ennemys selon le	que nous estions ses ennemys selon le
tẽps/ il a donne son filz trescher poͬ	temps/ il a donne son filz tres cher pour
nous/ nous uiuifiãt ⁊ sauuãt/ don	nous/ nous vivifiant et sauvant/ don¬
nãt pleine guarison/ ⁊ ostãt nostre	nant pleine guarison/ et ostant nostre
mort ⁊ passion diceluy/ nous enri¬	mort et passion d’iceluy/ nous enri¬
chissant par ses richesses quil nous	chissant par ses richesses qu’il nous
a donne en son filz/ nous donnant	a donne en son filz/ nous donnant
auec luy lheritage des cieulx et uie	avec luy l’heritage des cieulx et vie
ritiers/ nous deliurant de tous noz	ritiers/ nous delivrant de tous noz
ennemys/ maulx ⁊ pechez.	ennemys/ maulx et pechez.
Et pourtãt a limitatiõ de nostre	Et pourtant a l’imitation de nostre
pere celestiel qͥ est tant plein de mi¬	pere celestiel qui est tant plein de mi¬
ne estoit tenu/ a faict telle misericor	ne estoit tenu/ a faict telle misericor¬
de ⁊ grace ⁊ dõne de si grãdz dõs/	de et grace et donne de si grandz dons/
nous deuõs ⁊ sõmes tenuz dauoir	nous devons et sommes tenuz d’avoir
cõpassion ⁊ pitie de tous paoures/	compassion et pitie de tous paovres/
palemẽt aux domesticq̃s de la foy/	palement aux domesticques de la foy/
leur cõmunicant tous biẽs/ graces/	leur communicant tous biens/ graces/
⁊ dons q̃ Dieu nous a dõne. Lesq̃lz	et dons que Dieu nous a donne. Lesquelz
il nous a cõmis pour en disposer et	il nous a commis pour en disposer et
estre ceste misericorde ⁊ cõpassion/ q̃	estre ceste misericorde et compassion/ que
non seulemẽt a noz amys ⁊ ꝓchaĩs	non seulement a noz amys et prochains
deuons bien faire: mais ainsi que	devons bien faire: mais ainsi que
nostre pere dõne la pluye sus les iu	nostre pere donne la pluye sus les ju¬
sus les bõs ⁊ mauuais: ainsi nous	sus les bons et mauvais: ainsi nous
deuons bien faire a noz amys ⁊ en¬	devons bien faire a noz amys et en¬
nemys/ priãt Dieu pour ceulx qui	nemys/ priant Dieu pour ceulx qui
nous persecutẽt ⁊ mettẽt a mort/ rẽ	nous persecutent et mettent a mort/ ren¬
ger a nostre ennemy sil a faim/ et a	ger a nostre ennemy s’il a faim/ et a
boire sil a soif en laymant/ ⁊ ayant	boire s’il a soif en l’aymant/ et ayant
pitie ⁊ cõpassion de tous ceulx qui	pitie et compassion de tous ceulx qui
ont necessite/ quelz qͥlz soyent/ pao¬	ont necessite/ quelz qu’ilz soyent/ pao¬
en erreur/ qͥ persecutent ce qͥlz ne cõ¬	en erreur/ qui persecutent ce qu’ilz ne con¬
gnoissent point. Et tout cecy de¬	gnoissent point. Et tout cecy de¬
uons faire tant seulemẽt pour lhõ¬	vons faire tant seulement pour l’hon¬
neur ⁊ gloire de nostre pere qͥ est es	neur et gloire de nostre pere qui est es
tion fors q̃ dauancer son hõneur et	tion fors que d’avancer son honneur et
gloire. En luy rẽdant graces/ ayãt	gloire. En luy rendant graces/ ayant
cõtinuelle souuenance de la grace ⁊	continuelle souvenance de la grace et
misericorde quil nous a faict/ nous	misericorde qu’il nous a faict/ nous
lunte/ fuyantz la louẽge du mõde/	lunte/ fuyantz la louenge du monde/
ne desirantz estre ueuz/ affin que la	ne desirantz estre veuz/ affin que la
gloire soit a Dieu seul. Ceste pitie ⁊	gloire soit a Dieu seul. Ceste pitie et
affection doit estre au bien ⁊ proffit	affection doit estre au bien et proffit
Seigneur presente a toy/ ⁊ a qui tu	Seigneur presente a toy/ et a qui tu
peulx bien faire ⁊ ayder/ sachant sa	peulx bien faire et ayder/ sachant sa
necessite: car Dieu te commande de	necessite: car Dieu te commande de
ayder a tous ceulx que tu peulx.	ayder a tous ceulx que tu peulx.
trauailler/ ⁊ qͥ ont laisse ung peu de	travailler/ et qui ont laisse ung peu de
biẽs ou beaucop/ ⁊ ont laisse de tra¬	biens ou beaucop/ et ont laisse de tra¬
uailler/ ou ilz pouuoiẽt uiure sans	vailler/ ou ilz pouvoient vivre sans
dõner charge a persõne: ⁊ ont faict	donner charge a personne: et ont faict
ayse/ sans lafflictiõ quil ya a uiure	ayse/ sans l’affliction qu’il y a a vivre
parmy le mõde/ pour uiure oyseuse	parmy le monde/ pour vivre oyseuse¬
mẽt dedans ung monastere ou au¬	ment dedans ung monastere ou au¬
tre lieu/ ou ilz ne seruent q̃ de char¬	tre lieu/ ou ilz ne servent que de char¬
boureurs: cõme sont les ecclesiasti¬	boureurs: comme sont les ecclesiasti¬
ques/ moynes ⁊ nonnains/ qui par	ques/ moynes et nonnains/ qui par
leͬs reigles ⁊ statutz se sõt separez	leurs reigles et statutz se sont separez
des autres: certes ce nest pas aul¬	des autres: certes ce n’est pas aul¬
pour eulx pendre/ ⁊ le glaiue poͬ se	pour eulx pendre/ et le glaive pour se
tuer/ en les nourrissãt en leur mes¬	tuer/ en les nourrissant en leur mes¬
chancete ⁊ estat de perdition.	chancete et estat de perdition.
Tout ce aussi quon faict poͬ les	Tout ce aussi qu’on faict pour les
de Dieu/ nest pas aumosne: ains	de Dieu/ n’est pas aumosne: ains
uraye idolatrie. Car on p̃sume sur	vraye idolatrie. Car on presume sur
le cõmandemẽt de Dieu/ ⁊ ne faict	le commandement de Dieu/ et ne faict
on point pour sa seule gloire ⁊ hon	on point pour sa seule gloire et hon¬
passiõ au prochain qͥ en a necessite/	passion au prochain qui en a necessite/
le faisant tant seulemẽt pour lhon¬	le faisant tant seulement pour l’hon¬
neur de Dieu/ cela est urayement	neur de Dieu/ cela est vrayement
aulmosne.	aulmosne.
L	L¬
A uraye adoratiõ de dieu/	A vraye adoratin de dieu/
son pur seruice/ est luy dõ	son pur service/ est luy don¬
ner entieremẽt le coeur/ en	ner entierement le coeur/ en
souuerain Seigñr ⁊ maistre/ uray	souverain Seigneur et maistre/ vray
Dieu ⁊ uray pere sans nul autre/	Dieu et vray pere sans nul autre/
nattendant dautre salut ne uie/ ne	n’attendant d’autre salut ne vie/ ne
deliurance de noz maulx et pechez	delivrance de noz maulx et pechez
ne en la montaigne/ ne en Ierusa¬	ne en la montaigne/ ne en Jerusa¬
lem/ ne en lieu q̃ ce soit: mais en espe	lem/ ne en lieu que ce soit: mais en espe¬
rit ⁊ uerite. Car il ne le fault aller	rit et verite. Car il ne le fault aller
cercher ne demãder en aucune crea¬	cercher ne demander en aucune crea¬
mais es choses spirituelles/ lado¬	mais es choses spirituelles/ l’ado¬
rant en esperit ⁊ uerite/ en noꝰmes¬	rant en esperit et verite/ en nousmes¬
mes en noz coeurs. Car le royaume	mes en noz coeurs. Car le royaume
de Dieu est dedãs noꝰ quand auõs	de Dieu est dedans nous quand avons
ne obseruation: car il ny a maniere	ne observation: car il n’y a maniere
de faire par laquelle on aye ou trou	de faire par laquelle on aye ou trou¬
ue Dieu/ ne aussi lieu q̃lcõque. Car	ve Dieu/ ne aussi lieu quelconque. Car
Dieu ne se tiẽt ⁊ na son habitation	Dieu ne se tient et n’a son habitation
mes/ ne es choses uisibles: mais en	mes/ ne es choses visibles: mais en
noꝰ faictz spirituelz ⁊ renouuellez/	nous faictz spirituelz et renouvellez/
uniz ⁊ conioinctz par uraye foy a	uniz et conjoinctz par vraye foy a
nostre chef Iesuchrist. Lequel est le	nostre chef Jesuchrist. Lequel est le
uinite/ ou sont tous les thresors de	vinite/ ou sont tous les thresors de
sciẽce ⁊ sagesse. Pourtãt en tout	science et sagesse. Pourtant en tout
⁊ par tout nous deuons adresser en	et par tout nous devons adresser en
toutes noz necessitez a nostre pere/	toutes noz necessitez a nostre pere/
quel assiste continuellemẽt a ceulx	quel assiste continuellement a ceulx
qui layment.	qui l’ayment.
¶ De ladoration ⁊ seruice	¶ De l’adoration et service
des sainctz. Chap̃.xxuii.	des sainctz. Chapitre.xxvii.
E seruice/ adoration et	E service/ adoration et
prieres faictes aux saĩtz	prieres faictes aux saintz
⁊ a tous autres qui sõt	et a tous autres qui sont
hors de ce mõde/ est une	hors de ce monde/ est une
de Dieu. En quoy Dieu est deshõ	de Dieu. En quoy Dieu est deshon¬
nore/ en tãt que son hõneur est don	nore/ en tant que son honneur est don¬
ne a la creature. Et faict on deshon	ne a la creature. Et faict on deshon¬
neur aux sainctz/ pource q̃ contre ce	neur aux sainctz/ pour ce que contre ce
recours a eulx/ car ilz ne ueulent	recours a eulx/ car ilz ne veulent
quon ayt fiance en eulx: mais en	qu’on ayt fiance en eulx: mais en
Dieu. Et ont deffendu selon la	Dieu. Et ont deffendu selon la
ꝑolle de Dieu toutes images quon	parolle de Dieu toutes images qu’on
inclination deuant icelles/ toutes	inclination devant icelles/ toutes
ces offrandes/ chandelles/ uoeuz/	ces offrandes/ chandelles/ voeuz/
neufuaines/ ⁊ toutes ces manieres	neufvaines/ et toutes ces manieres
de faire: dequoy le mõde est de pre¬	de faire: dequoy le monde est de pre¬
na point cõmande: mais la deffen¬	n’a point commande: mais l’a deffen¬
du/ tellemẽt quil ueult q̃ ceulx qui	du/ tellement qu’il veult que ceulx qui
ont trouue ces choses/ soyẽt maul¬	ont trouve ces choses/ soyent maul¬
dictz/ uoire mesmes quand seroiẽt	dictz/ voire mesmes quand seroient
adiouste ou oste a sa parolle/ selon	adjouste ou oste a sa parolle/ selon
laq̃lle il fault tout faire/ autremẽt	laquelle il fault tout faire/ autrement
cest peche. Il deffend que noꝰ ne	c’est peche. Il deffend que nous ne
faisons ce qͥ nous semble bon: mais	faisons ce qui nous semble bon: mais
de/ sans y adiouster ne diminuer.	de/ sans y adjouster ne diminuer.
Et puis q̃ sommes seruiteurs ⁊ filz	Et puis que sommes serviteurs et filz
de Dieu seigneur ⁊ pere si tressage	de Dieu seigneur et pere si tres sage
⁊ si tresbõ/ il nous fault aller ⁊ fai¬	et si tres bon/ il nous fault aller et fai¬
uolunte/ ⁊ non point selon la phan	volunte/ et non point selon la phan¬
tasie de nous ou dautres.	tasie de nous ou d’autres.
Et ceulx qui disent q̃ les sainctz	Et ceulx qui disent que les sainctz
sont noz intercesseurs/ aduocatz/ et	sont noz intercesseurs/ advocatz/ et
chemin/ la uie/ ⁊ lesperãce/ ilz blas¬	chemin/ la vie/ et l’esperance/ ilz blas¬
phemẽt/ faisãtz oultrage aux saĩctz	phement/ faisantz oultrage aux sainctz
⁊ deshõneur a nostre Seigneur. Ie	et deshonneur a nostre Seigneur. Je¬
sus: leq̃l seul est nostre mediateur/	sus: lequel seul est nostre mediateur/
pere/ nostre aduocat/ qͥ parle pour	pere/ nostre advocat/ qui parle pour
nous/ le seul chemin/ la uie ⁊ ueri¬	nous/ le seul chemin/ la vie et veri¬
te/ ⁊ nul autre. Nostre esperã¬	te/ et nul autre. Nostre esperan¬
ce est Dieu seul/ auquel qͥ met sa cõ	ce est Dieu seul/ auquel qui met sa con¬
qui la met en autre.	qui la met en autre.
Les miracles ⁊ autres choses qͥ	Les miracles et autres choses qui
sõt aduenues/ ne nous doiuẽt mou	sont advenues/ ne nous doivent mou¬
uoir aucunemẽt poͬ noꝰ tirer hors	voir aucunement pour nous tirer hors
foy ⁊ creãce q̃ selõ la ꝑolle de Dieu.	foy et creance que selon la parolle de Dieu.
Car ciel ⁊ terre passerõt: mais la pa	Car ciel et terre passeront: mais la pa¬
rolle de Dieu ne passera poĩt: ains	rolle de Dieu ne passera point: ains
demourera eternellemẽt. Et riẽ ne	demourera eternellement. Et rien ne
pture q̃ tout ne soit accõply. Nostre	pture que tout ne soit accomply. Nostre
bõ maistre Iesꝰ noꝰ a assez aduerty	bon maistre Jesus nous a assez adverty
de ces miracles qui deuoient estre	de ces miracles qui devoient estre
faictz au tẽps de Lãtechrist/ lequel	faictz au temps de L’antechrist/ lequel
rien nest demoure pur sur la terre.	rien n’est demoure pur sur la terre.
Et cecy deuoit uenir par faulx ꝓ¬	Et cecy devoit venir par faulx pro¬
phetes/ faulx instructeurs et do¬	phetes/ faulx instructeurs et do¬
cteurs de mẽsonges/ qui au lieu de	cteurs de mensonges/ qui au lieu de
mẽsonges/ en faulx signes ⁊ mira¬	mensonges/ en faulx signes et mira¬
cles pour la seduction de ceulx qui	cles pour la seduction de ceulx qui
nont creu a uerite. Car qui bien y re	n’ont creu a verite. Car qui bien y re¬
garderoit on ne trouueroit aucun	garderoit on ne trouveroit aucun
deception pour attraper argẽt. Et	deception pour attraper argent. Et
Dieu pour les siẽs/ affin quilz re¬	Dieu pour les siens/ affin qu’ilz re¬
uiẽnent ⁊ retournẽt a la lumiere de	viennent et retournent a la lumiere de
uerite/ ⁊ pour la condẽnation des	verite/ et pour la condemnation des
comment par auarice le seruice des	comment par avarice le service des
sainctz ⁊ toute telle seduction a este	sainctz et toute telle seduction a este
introduicte/ ⁊ les miracles controu	introduicte/ et les miracles controu¬
uez ⁊ faictz: na il pas demonstre a	vez et faictz: n’a il pas demonstre a
ple a limage de Lancelle/ ⁊ en plu¬	ple a l’image de Lancelle/ et en plu¬
sieurs autres lieux a reuele la faul	sieurs autres lieux a revele la faul¬
sete des miracles ⁊ des inuenteurs	sete des miracles et des inventeurs
diceulx. En quoy nous cõgnoissõs	d’iceulx. En quoy nous congnoissons
sur les idolatres/ lesquelz aduertis	sur les idolatres/ lesquelz advertis
de telles trõperies/ ueullent neãt¬	de telles tromperies/ veullent neant¬
moins ꝑseuerer en leurs iniquitez/	moins perseverer en leurs iniquitez/
sans soy retourner au uray Dieu.	sans soy retourner au vray Dieu.
⁊ seruez a luy seul/ comme ont faict	et servez a luy seul/ comme ont faict
tous les sainctz ⁊ bienheureux qui	tous les sainctz et bienheureux qui
uoꝰ p̃cedẽt au royaume des cieulx/	vous precedent au royaume des cieulx/
affin que ne soyez iugez ⁊ condãnez	affin que ne soyez jugez et condamnez
re ⁊ loeuure de leurs mains.	re et l’oeuvre de leurs mains.
Nous deuõs tous prier lũg poͬ	Nous devons tous prier l’ung pour
lautre/ tant q̃ sõmes icy/ ou pouons	l’autre/ tant que sommes icy/ ou povons
declairer noz necessitez lung a lau¬	declairer noz necessitez l’ung a l’au¬
du biẽ ⁊ grace ⁊ releuemẽt de nostre	du bien et grace et relevement de nostre
prochain/ ⁊ tristesse aussi de sõ mal/	prochain/ et tristesse aussi de son mal/
erreur/ tombemẽt ⁊ paourete. De¬	erreur/ tombement et paovrete. De¬
quoy la saĩcte escripture est pleine/	quoy la saincte escripture est pleine/
lung a lautre/ qͥl layde par ses orai¬	l’ung a l’autre/ qu’il l’ayde par ses orai¬
sons. Et ce point ne doubtant de la	sons. Et ce point ne doubtant de la
bõte de Dieu: mais affin q̃ la chari	bonte de Dieu: mais affin que la chari¬
te soit cõseruee ⁊ augmẽtee/ quand	te soit conservee et augmentee/ quand
⁊ que graces soyent rẽdues a Dieu	et que graces soyent rendues a Dieu
de plusieurs/ quand il donne ce que	de plusieurs/ quand il donne ce que
plusieurs ont demãde ⁊ prie: ⁊ ainsi	plusieurs ont demande et prie: et ainsi
Dieu soit plus grandement loue	Dieu soit plus grandement loue
Mais de ceulx qͥ sont hors de ce	Mais de ceulx qui sont hors de ce
mõde/ ⁊ qui dormẽt ⁊ reposẽt/ quon	monde/ et qui dorment et reposent/ qu’on
les incite a prier poͬ nous/ cest cho¬	les incite a prier pour nous/ c’est cho¬
se uaine ⁊ cõtrouuee sãs escripture.	se vaine et controuvee sans escripture.
cteurs des aueugles/ les docteurs	cteurs des aveugles/ les docteurs
des uniuersitez/ que les sainctz ont	des universitez/ que les sainctz ont
telle charite a nous/ qͥlz sõt esmeutz	telle charite a nous/ qu’ilz sont esmeutz
a prier pour nous/ quand nous les	a prier pour nous/ quand nous les
leur a dict que les sainctz scauent et	leur a dict que les sainctz scavent et
cõgnoissent nostre estat/ et uoyent	congnoissent nostre estat/ et voyent
nostre coeͬ ⁊ desir duquel nous les	nostre coeur et desir duquel nous les
requerõs ⁊ que entendãtz noz pen¬	requerons et que entendantz noz pen¬
quilz prient cõme quãd ilz estoient	qu’ilz prient comme quand ilz estoient
en ce monde ⁊ plus ardãment/ exer	en ce monde et plus ardamment/ exer¬
ceantz ainsi charite enuers nous/ cõ	ceantz ainsi charite envers nous/ com¬
ment ne font ilz les autres oeuures	ment ne font ilz les autres oeuvres
que priere? cõe nostre sauueur nous	que priere? come nostre sauveur nous
a bien dõne a entendre: cestascauoir	a bien donne a entendre: c’est ascavoir
prescher le sainct euãgile/ reprẽdre	prescher le sainct evangile/ reprendre
⁊ admõnester/ ueu quil seroit beau	et admonnester/ veu qu’il seroit beau¬
Andre ⁊ sainct Thomas/ ⁊ les au¬	Andre et sainct Thomas/ et les au¬
tres apostres preschassent mainte¬	tres apostres preschassent mainte¬
