¶ Noelz nouueaulx.	¶ Noelz nouveaulx.
Que foy nous faict uictoire telle.	Que foy nous faict victoire telle.
A la dextre de equalite:	A la dextre de equalite:
Car il entend la uerite/	Car il entend la verite/
Tu es par tout en deite/	Tu es par tout en deite/
Car es haultz cieulx il est mõte	Car es haultz cieulx il est monte
¶ Tu reuiendras un iour au mõde/	¶ Tu reviendras un jour au monde/
Pour iuger les bons ⁊ mauuais:	Pour juger les bons et mauvais:
Portantz de mal le pesantz fais/	Portantz de mal le pesantz fais/
Et les eleuz en moult grand ioye/	Et les eleuz en moult grand joye/
Auecques toy seront refais:	Avecques toy seront refais:
¶ Noel nouueau sur le chant	¶ Noel nouveau sur le chant
ne fut pris ⁊c.	ne fut pris etc.
T	T¬
Ie chãteray noel: a lõgue allaine/	Je chanteray noel: a longue allaine/
De bien chãter/ ne serez pas repris.	De bien chanter/ ne serez pas repris.
¶ Lhõneͬ ð dieu/ en uoz chãtz soit cõpris/	¶ L’honneur de dieu/ en voz chantz soit compris/
A respandu pour la nature humaine/	A respandu pour la nature humaine/
¶ Huyct ioͬs ap̃s qͥl uĩt en ce pourpris	¶ Huyct jours apres qu’il vint en ce pourpris
Il fut porte/ au temple sainct ⁊ digne	Il fut porte/ au temple sainct et digne
Questoit nostre rancon: ⁊ nostre prix.	Qu’estoit nostre rancon: et nostre prix.
Nom au seul quel/ on doibt auoir fiãce:	Nom au seul quel/ on doibt avoir fiance:
Nom merueilleux/ ⁊ nom plein de puissãce/	Nom merveilleux/ et nom plein de puissance/
¶ O seigñr dieu/ seigñr sainct en Syon/	¶ O seigneur dieu/ seigneur sainct en Syon/
Est admirable/ car par luy lhumain gẽre/	Est admirable/ car par luy l’humain genre/
Sera sauue/ du rugissant lyon.	Sera sauve/ du rugissant lyon.
Est esleue: en claire refulgence/	Est esleue: en claire refulgence/
Cõme appartiẽt a toy/ le dieu des dieux.	Comme appartient a toy/ le dieu des dieux.
¶ Pour te louer maugre tes ennemys/	¶ Pour te louer maugre tes ennemys/
Ce qui a faict/ au faulx diable farouche	Ce qui a faict/ au faulx diable farouche
¶ Or ay ie espoir/ q̃ les haultz cieulx uerray	¶ Or ay je espoir/ que les haultz cieulx verray
Qui de tes doigtz sont oeuures suꝑnelles:	Qui de tes doigtz sont oeuvres supernelles:
En te uoyant/ le tout congnoisteray.	En te voyant/ le tout congnoisteray.
Fors q̃ peche/ lequel regne en ses mẽbres	Fors que peche/ lequel regne en ses membres
Ce nonobstãt/ de luy tu te remembres	Ce nonobstant/ de luy tu te remembres
¶ Seigñr ton Christ/ un peu amoindry as	¶ Seigneur ton Christ/ un peu amoindry as
Eut ⁊ hõneur: apres oeuure si bonne:	Eut et honneur: apres oeuvre si bonne:
Car au tiers iour/ tu le resuscitas.	Car au tiers jour/ tu le resuscitas.
Douailles ⁊ beufz/ auoit la seignorie	D’ouailles et beufz/ avoit la seignorie
Quand eut peche/ en trãsgressant ta loy.	Quand eut peche/ en transgressant ta loy.
¶ Tous les oyseaulx de diuerses facons/	¶ Tous les oyseaulx de diverses facons/
A luy subiectz/ les auoys uoulu faire:	A luy subiectz/ les avoys voulu faire:
¶ Par Iesus Christ/ lhõme est cõstitue	¶ Par Jesus Christ/ l’homme est constitue
En liberte/ ⁊ grace euangelique:	En liberte/ et grace evangelique:
En son hõneur/ lhõme est restitue.	En son honneur/ l’homme est restitue.
Que ton nom est/ par sus tous admirable/	Que ton nom est/ par sus tous admirable/
Par lequel seul/ on surmonte le dyable/	Par lequel seul/ on surmonte le dyable/
¶ Hũbles pasteͬs gouuernãtz uoz brebis/	¶ Humbles pasteurs gouvernantz voz brebis/
Elle est aux doulx le pain ⁊ la pasture/	Elle est aux doulx le pain et la pasture/
Que dieu substraict aux orguilleux rabis.	Que dieu substraict aux orguilleux rabis.
Par sainctz accordz/ ⁊ sans uoix dissolue	Par sainctz accordz/ et sans voix dissolue
Ou uous ferez/ ung pleur perpetuel.	Ou vous ferez/ ung pleur perpetuel.
¶ Autre Noel nouueau sur le chant:	¶ Autre Noel nouveau sur le chant:
I	J
En exposant de profundis/	En exposant de profundis/
Auquel Dauid par profondz ditz	Auquel David par profondz ditz
¶ De ceste abysme tant profonde/	¶ De ceste abysme tant profonde/
Affin que mon humble clameur	Affin que mon humble clameur
Iusque a tes aureilles redonde.	Jusque a tes aureilles redonde.
Pour exaucer ma paoure uoix,	Pour exaucer ma paovre voix,
Mon coeur est ta grace attendante.	Mon coeur est ta grace attendante.
¶ Sa mes pechez tu prenois garde/	¶ Sa mes pechez tu prenois garde/
Ne me uueilles rigueur tenir/	Ne me vueilles rigueur tenir/
¶ Car enuers toy y a clemence/	¶ Car envers toy y a clemence/
Ie le congnoys bien par la foy/	Je le congnoys bien par la foy/
Prens ton chier filz pour recõpense.	Prens ton chier filz pour recompense.
Pourtant ie nen seray deceu/	Pourtant je n’en seray deceu/
Par ton esprit ie lay congneu/	Par ton esprit je l’ay congneu/
¶ De la ueille matutinale	¶ De la veille matutinale
Et ce te soit continuel	Et ce te soit continuel
Iusques a la uespertinale.	Jusques a la vespertinale.
Salut aussi a grand foison/	Salut aussi a grand foison/
Bienheureux est qui le recorde.	Bienheureux est qui le recorde.
¶ Et iceluy par sa puissance/	¶ Et iceluy par sa puissance/
Et de tous ses maulx absouldra/	Et de tous ses maulx absouldra/
¶ Noel qͥ se chãte sur le Psalme	¶ Noel qui se chante sur le Psalme
In exitu Israel de egypto.	In exitu Israel de egypto.
La uenue de Noel	La venue de Noel
¶ Le roy Dauid met au psaultier/	¶ Le roy David met au psaultier/
Cõme on doibt Dieu magnifier.	Comme on doibt Dieu magnifier.
Seruez a dieu le roy des roys.	Servez a dieu le roy des roys.
Et confessez ce qui sensuyt.	Et confessez ce qui s’ensuyt.
¶ Non pas a nous non pas seigneur/	¶ Non pas a nous non pas seigneur/
¶ A cause de tant de bonte/	¶ A cause de tant de bonte/
¶ Pourquoy dit le peuple gentil:	¶ Pourquoy dit le peuple gentil:
Leur dieu maintenant: ou est il?	Leur dieu maintenant: ou est il?
De son sainct nom/ ⁊ peuple eleu.	De son sainct nom/ et peuple eleu.
Toutes choses quil uoeut il faict.	Toutes choses qu’il voeut il faict.
¶ Leurs idoles/ or ⁊ argent/	¶ Leurs idoles/ or et argent/
¶ Ilz ont bouches/ sans point parler:	¶ Ilz ont bouches/ sans point parler:
¶ Ilz ont aureilles sans rien ouyr:	¶ Ilz ont aureilles sans rien ouyr:
Ilz ont des nez/ sans rien sentir.	Ilz ont des nez/ sans rien sentir.
Et de leurs piedz, ne font nulz pas.	Et de leurs piedz, ne font nulz pas.
Brief ne faire/ dire/ penser.	Brief ne faire/ dire/ penser.
¶ Semblables a eulx seront faictz/	¶ Semblables a eulx seront faictz/
¶ Et qui en eulx fiance auront/	¶ Et qui en eulx fiance auront/
¶ Aye/ ton espoir Israel	¶ Aye/ ton espoir Israel
Au seul seigneur Dieu eternel.	Au seul seigneur Dieu eternel.
Car cest layde ⁊ lescusson.	Car c’est l’ayde et l’escusson.
Au seigneur esperance ayez.	Au seigneur esperance ayez.
¶ Car cest luy seul quest le confort/	¶ Car c’est luy seul qu’est le confort/
¶ Uoyla quon doibt souuent chanter/	¶ Voyla qu’on doibt souvent chanter/
¶ Chantez noel ioyeusement/	¶ Chantez noel joyeusement/
Dauid met de quoy ⁊ cõment.	David met de quoy et comment.
Gardez des loups tous uoz aigneaulx.	Gardez des loups tous voz aigneaulx.
sur le chant: Si par souffrir on	sur le chant: Si par souffrir on
poeut uaincre fortune ⁊c.	poeut vaincre fortune etc.
I par chãter/ on poeut auoir aucune	I par chanter/ on poeut avoir aucune
Un beau noel/ des psalmes ueulx chãter:	Un beau noel/ des psalmes veulx chanter:
Or lentendez tous chascun ⁊ chascune.	Or l’entendez tous chascun et chascune.
Destre en syon/ deuant tous adore/	D’estre en syon/ devant tous adore/
De coeur/ de uoeux/ de cãtiques ⁊ hymne.	De coeur/ de voeux/ de cantiques et hymne.
¶ Uueille exaucer (sire) tous noz prieres	¶ Vueille exaucer (sire) tous noz prieres
De ton sainct lieu/ tu oys nostre oraison/	De ton sainct lieu/ tu oys nostre oraison/
¶ A tes enfantz/ demõstre toy propice/	¶ A tes enfantz/ demonstre toy propice/
Les deffendãtz/ de leurs persecuteurs/	Les deffendantz/ de leurs persecuteurs/
Sans les iuger selon ta grãd iustice.	Sans les juger selon ta grand justice.
Pour habiter en tes estres ⁊ lieux/	Pour habiter en tes estres et lieux/
Certaĩ est quõ ne peult au mõde mieux	Certain est qu’on ne peult au monde mieux
¶ Car de tous biẽs y aura abondãce/	¶ Car de tous biens y aura abondance/
Nul oeil ne peult uoir/ nẽ coeͬ estre mis	Nul oeil ne peult voir/ nen coeur estre mis
Ce qua promis/ aux tiens par puidẽce.	Ce qua promis/ aux tiens par pudence.
De toutes fins que lon poeut estimer/	De toutes fins que l’on poeut estimer/
Exauce nous tu en as la puissance.	Exauce nous tu en as la puissance.
¶ En cõfermant par uertu souueraine	¶ En confermant par vertu souveraine
qͥ chãterõt/ hymnes/ ⁊ uers nouueaux/	qui chanteront/ hymnes/ et vers nouveaux/
¶ Les habitãs des regiõs extremes/	¶ Les habitans des regions extremes/
Sont uenuz ueoir par grãde humilite	Sont venuz veoir par grande humilite
Mais tu tonoys/ es haultz cieulx ⁊ su¬	Mais tu tonoys/ es haultz cieulx et su¬
¶ Les pastoreaux du pays Iudaique	¶ Les pastoreaux du pays Judaique
Te sont uenuz uisiter/ en ce lieu/	Te sont venuz visiter/ en ce lieu/
Cõme il appert/ par la uoix angelique.	Comme il appert/ par la voix angelique.
Les fruictz germez/ ⁊ leur posterite	Les fruictz germez/ et leur posterite
Pour leur dõner/ ioye en fecundite/	Pour leur donner/ joye en fecundite/
¶ Chãtõs noel pasteͬs ⁊ pastourelles,	¶ Chantons noel pasteurs et pastourelles,
Certes sans luy le mõde estoit dãne/	Certes sans luy le monde estoit damne/
Et deiecte/ es peines eternelles.	Et deiecte/ es peines eternelles.
propos/ cest trop chãte damours ⁊c.	propos/ c’est trop chante d’amours etc.
Hãgeõs ꝓpos/ cest trop chãte damoͬs	Hangeons propos/ c’est trop chante d’amours
Chãtõs a dieu (pasteͬs) autre cãtique:	Chantons a dieu (pasteurs) autre cantique:
Quãd il nous a dõne son filz unique/	Quand il nous a donne son filz unique/
Nespargnõs point/ noz tãbours ⁊ cornetz	N’espargnons point/ noz tambours et cornetz
Poͬ biẽ chãter/ faut auoir les coeurs netz.	Pour bien chanter/ faut avoir les coeurs netz.
Nostre iustice/ ⁊ nostre salutaire/	Nostre justice/ et nostre salutaire/
Le brachs de dieu/ puissant a salut faire/	Le brachs de dieu/ puissant a salut faire/
En certain temps il est uenu parfaire/	En certain temps il est venu parfaire/
Souffrant pour tous la mort ⁊ passion.	Souffrant pour tous la mort et passion.
Quil est uray dieu/ sur toꝰ admerueillable	Qu’il est vray dieu/ sur tous admerveillable
Et maintenant par lange lauons sceu/	Et maintenant par l’ange l’avons sceu/
Ie ne quiers rien/ qua luy estre agreable/	Je ne quiers rien/ qu’a luy estre agreable/
A quoy faire/ nul lieu nest limite.	A quoy faire/ nul lieu n’est limite.
¶ En equite/ en iustice ⁊ en droit	¶ En equite/ en justice et en droit
Dainsi iuger/ rien prendre ne uoudroit	D’ainsi juger/ rien prendre ne voudroit
La uerrons nous la uerite qui ne erre/	La verrons nous la verite qui ne erre/
Non en tauerne/ ains en la cresche mis:	Non en taverne/ ains en la cresche mis:
¶ Note cecy/ paoure orguilleux mondain	¶ Note cecy/ paovre orguilleux mondain
Le filz de dieu est mis dessus du foyn/	Le filz de dieu est mis dessus du foyn/
Et a grãd froid/ mais tu dors a plaisance/	Et a grand froid/ mais tu dors a plaisance/
Et en la fin tu en diras helas:	Et en la fin tu en diras helas:
¶ Cõgnoissez uoꝰ en cõtẽplant le Christ/	¶ Congnoissez vous en contemplant le Christ/
Mettez son faict ⁊ le uostre en balance/	Mettez son faict et le vostre en balance/
Contredisantz: a sa saincte ordonnance/	Contredisantz: a sa saincte ordonnance/
Toute auarice/ enuie/ paresse orgueil/	Toute avarice/ envie/ paresse orgueil/
Mais uoꝰ faictes cõtre on le uoit a loeil	Mais vous faictes contre on le voit a l’oeil
Nous nyrons plus planter lortie.	Nous n’yrons plus planter l’ortie.
Hantons noel du filz Marie/	Hantons noel du filz Marie/
Par melodie/	Par melodie/
Il est le roy Emmanuel/	Il est le roy Emmanuel/
Ie uous affie.	Je vous affie.
¶ La uertu dieu estoit latente/	¶ La vertu dieu estoit latente/
Du corps forme diuinement/	Du corps forme divinement/
Du sainct esprit/ cest mon entente:	Du sainct esprit/ c’est mon entente:
Et mon attente.	Et mon attente.
Saincte ⁊ diuine/	Saincte et divine/
Car cest lauoir quon doibt auoir/	Car c’est l’avoir qu’on doibt avoir/
La marguerite ⁊ perle fine/	La marguerite et perle fine/
¶ Noel sur le Psalme.99. Iubilate	¶ Noel sur le Psalme.99. Jubilate
Puis quen amours a si beau passe tẽps.	Puis qu’en amours a si beau passe temps.
P	P¬
Qui habitez/ en ce bas territoire:	Qui habitez/ en ce bas territoire:
Gardãt sa loy/ desprit ⁊ a luy croyre.	Gardant sa loy/ d’esprit et a luy croyre.
¶ Humbles en coeur/ de prõpte uolunte/	¶ Humbles en coeur/ de prompte volunte/
Esperez bien/ de sa grande bonte/	Esperez bien/ de sa grande bonte/
¶ Sachez pour uray/ qͥl est dieu ⁊ seigñr/	¶ Sachez pour vray/ qu’il est dieu et seigneur/
Qui nous a faictz a sa similitude:	Qui nous a faictz a sa similitude:
Nostre loyer/ nostre beatitude.	Nostre loyer/ nostre beatitude.
Et nous sommes ouailles de sa pasture/	Et nous sommes ouailles de sa pasture/
A luy rendons/ toute gloire ⁊ honneur/	A luy rendons/ toute gloire et honneur/
¶ Louõs son nom qͥ est doulx ⁊ begnin:	¶ Louons son nom qui est doulx et begnin:
Sa uerite/ perseuere sans fin	Sa verite/ persevere sans fin
De siecle en siecle: A luy dõcq̃s te accorde.	De siecle en siecle: A luy doncques te accorde.
Et cõtemplez Iesus Christ en lestable:	Et contemplez Jesus Christ en l’estable:
Compte en rendrez/ au iuge ueritable.	Compte en rendrez/ au juge veritable.
¶ Noel nouueau sur le Psalme.84.	¶ Noel nouveau sur le Psalme.84.
Et se chante sur le chant/ Uiure ne	Et se chante sur le chant/ Vivre ne
S	S¬
Ire ta terre/ as beneys a ce cop/	Ire ta terre/ as beneys a ce cop/
Quil a mis hors les captifz de Iacob/	Qu’il a mis hors les captifz de Jacob/
¶ A ton peuple as remis tous ses pechez/	¶ A ton peuple as remis tous ses pechez/
Et as couuert toute uillaine ordure:	Et as couvert toute villaine ordure:
Mais par ton filz tu en as faict la cure.	Mais par ton filz tu en as faict la cure.
O sire dieu/ fais nous a luy retraire/	O sire dieu/ fais nous a luy retraire/
Conuertis nous a toy, sans seiourner:	Convertis nous a toy, sans sejourner:
¶ Dieu tout puissant ⁊ seigñr immortel/	¶ Dieu tout puissant et seigneur immortel/
Ire ⁊ courroux? qui soit perpetuel/	Ire et courroux? qui soit perpetuel/
En luy faisãt tousiours mortelle guerre.	En luy faisant tousjours mortelle guerre.
En demonstrant ta bonte ⁊ ta grace/	En demonstrant ta bonte et ta grace/
Quand il uerra ta saincte ⁊ digne face.	Quand il verra ta saincte et digne face.
¶ Apres q̃ aurõs longuemẽt souspire/	¶ Apres que aurons longuement souspire/
Que nous uoyõs le christ tant desire/	Que nous voyons le christ tant desire/
¶ Alors ie orray ce quil dira en moy/	¶ Alors je orray ce qu’il dira en moy/
Et de present a cela me dispose/	Et de present a cela me dispose/
Biẽheureux est/ qui norra autre chose.	Bienheureux est/ qui norra autre chose.
De ceste paix la ioyeuse nouuelle/	De ceste paix la joyeuse nouvelle/
Sans oublier cil qui linuoquera:	Sans oublier cil qui l’invoquera:
¶ mais toutesfois des hũblescraignãsdieu	¶ mais toutesfois des humbles craignans dieu
Grace de dieu est tousiours pres du lieu	Grace de dieu est tousjours pres du lieu
Des urays croyãtz/ cest sa ꝓpre demeure.	Des vrays croyantz/ c’est sa propre demeure.
Dames dhõneur/ si se sont raliees:	Dames d’honneur/ si se sont raliees:
Finalement/ sont reconciliees.	Finalement/ sont reconciliees.
¶ Tant sest uoulu uers nous humilier	¶ Tant s’est voulu vers nous humilier
Quil est uenu pour nous iustifier:	Qu’il est venu pour nous justifier:
¶ Apres que dieu par sa benignite	¶ Apres que dieu par sa benignite
A ses eleuz aura grace donnee/	A ses eleuz aura grace donnee/
Pour faire fruict en foy preordonnee.	Pour faire fruict en foy preordonnee.
En obseruant de ses preceptz la uoye:	En observant de ses preceptz la voye:
Et tous ses pas il les ordonnera/	Et tous ses pas il les ordonnera/
¶ Uoyla que Christ a son naistre fera	¶ Voyla que Christ a son naistre fera
Nostre ennemy Satan il desfera/	Nostre ennemy Satan il desfera/
Chantõs noel ⁊ en faisons la feste.	Chantons noel et en faisons la feste.
qui se chante sur le chant: Las ie my	qui se chante sur le chant: Las je my
S	S¬
Ur les fleuues/ de babel la confuse	Ur les fleuves/ de babel la confuse
En gemissant/ eu recordation:	En gemissant/ eu recordation:
¶ Or auõs nous pendu sur ta saulsoye	¶ Or avons nous pendu sur ta saulsoye
Psalteriõs/ cymbales/ orgues/ cors/	Psalterions/ cymbales/ orgues/ cors/
Paoures captifz/ ne uiuẽt point en ioye.	Paovres captifz/ ne vivent point en joye.
Que uous chãtiez auãt q̃ destre prins/	Que vous chantiez avant que destre prins/
Ausquelz disiõs/ nous nauõs poĩt apprins	Ausquelz disions/ nous n’avons point apprins
¶ A mõ palays puisse adherer ma langue	¶ A mon palays puisse adherer ma langue
Hierusalem/ si en oubly te metz:	Hierusalem/ si en oubly te metz:
Car en tẽps deu ie te feray harengue.	Car en temps deu je te feray harengue.
Lesquelz ont dit a neant/ a neãt/ a neant	Lesquelz ont dit a neant/ a neant/ a neant
Et blasphemant: nont uolu a toy croyre.	Et blasphemant: n’ont volu a toy croyre.
¶ O babylone/ tresmiserable uille/	¶ O babylone/ tres miserable ville/
Ung tel loyer/ quil ten appartiendra/	Ung tel loyer/ qu’il t’en appartiendra/
¶ Biẽheureux est qui ta faulse semence	¶ Bienheureux est qui ta faulse semence
A la pierre/ brisera rudement:	A la pierre/ brisera rudement:
Et remet tout/ aux siens par sa clemẽce.	Et remet tout/ aux siens par sa clemence.
