¶ Linstruction des	¶ L’instruction des
Psal.33.b.	Psal.33.b.
Seigneur tu as fonde la terre au cõmencemẽt.	Seigneur tu as fonde la terre au commencement.
Il dõne a tous uie ⁊ respiration/ par tout. Par	Il donne a tous vie et respiration/ par tout. Par
Car de luy/ ⁊ par luy/ ⁊ en luy sont toutes cho¬	Car de luy/ et par luy/ et en luy sont toutes cho¬
ses. Romains.11.d.	ses. Romains.11.d.
Cestuy est son cõmãdemẽt/ que croyõs au nom	Cestuy est son commandement/ que croyons au nom
cõme il nous en a dõne le cõmandemẽt. 1.Ieh.3.d.	comme il nous en a donne le commandement. 1.Jeh.3.d.
Iay appelle mon filz de Egypte. Osee.12.a.	J’ay appelle mon filz de Egypte. Osee.12.a.
Auquel des anges a il oncque dit. Tu es mon	Auquel des anges a il oncque dit. Tu es mon
seray pour pere: ⁊ luy il me sera pour filz. Heb.1.b.	seray pour pere: et luy il me sera pour filz. Heb.1.b.
Ps̈.2.b.2. Samuel.7.b.	Ps̈.2.b.2. Samuel.7.b.
mon bon plaisir: oyez le. Matth.3.d.17.a.	mon bon plaisir: oyez le. Matth.3.d.17.a.
Luc.1.c.	Luc.1.c.
Tu es Christ le filz de dieu uiuãt. Matth.16.c.	Tu es Christ le filz de dieu vivant. Matth.16.c.
Dieu par son filz a parle aux derniers temps a	Dieu par son filz a parle aux derniers temps a
Qui luy a este faict de la semence de Dauid se¬	Qui luy a este faict de la semence de David se¬
lon la chair/ qui est declaire le filz de dieu en puis¬	lon la chair/ qui est declaire le filz de dieu en puis¬
Qui est limage de dieu inuisible/ premier nay	Qui est l’image de dieu invisible/ premier nay
ses crees eis cieux ⁊ en la terre/ uisibles ⁊ inuisi¬	ses crees eis cieux et en la terre/ visibles et invisi¬
bles/ soit les thrones/ soit les dominatiõs/ soit les	bles/ soit les thrones/ soit les dominations/ soit les
luy ⁊ en luy sõt crees: ⁊ il est deuãt toutes choses/	luy et en luy sont crees: et il est devant toutes choses/
Christ/ qui est limage de dieu. 2.Corin4.a.	Christ/ qui est l’image de dieu. 2.Corin.4.a.
Lequel cõme ainsi soit quil soit la splẽdeur de	Lequel comme ainsi soit qu’il soit la splendeur de
Au cõmencement estoit la parolle/ ⁊ la parolle	Au commencement estoit la parolle/ et la parolle
Deuant q̃ Abraham ◊	Devant que Abraham ◊
Uoꝰ croyez en dieu/ croyez aussi en moy. Io.14.a	Vous croyez en dieu/ croyez aussi en moy. Jo.14.a
Moy ⁊ mon pere sommes un. Iehã.10.f.	Moy et mon pere sommes un. Jehã.10.f.
En ce iour la/ uous cõgnoistrez q̃ ie suis en mõ	En ce jour la/ vous congnoistrez que je suis en mon
pere: ⁊ uous en moy/ ⁊ moy en uous. Iehã.14.c.	pere: et vous en moy/ et moy en vous. Jehã.14.c.
uie/ nul ne uient a mon pere/ sinon par moy. Si	vie/ nul ne vient a mon pere/ sinon par moy. Si
cõgneu mon pere. Ieh.14.a	congneu mon pere. Jeh.14.a
Ie suis lhuys. Ieh.10.b.	Je suis l’huys. Jeh.10.b.
tire. Iehã.6.e.	tire. Jehã.6.e.
sa main/ qui croit au filz il a uie eternelle. Et qͥ est	sa main/ qui croit au filz il a vie eternelle. Et qui est
incredule/ il ne uerra poĩt la uie/ mais lire de dieu	incredule/ il ne verra point la vie/ mais l’ire de dieu
Ceste est la uie eternelle/ qͥl te cõgnoissent seul	Ceste est la vie eternelle/ qu’il te congnoissent seul
Qui croyt au filz de Dieu il a tesmoignage en	Qui croyt au filz de Dieu il a tesmoignage en
soymesme. 1.Iehã.5.b.	soymesme. 1.Jehã.5.b.
seul filz: affin que tout hõme qui croyt en luy/ ne	seul filz: affin que tout homme qui croyt en luy/ ne
na point enuoye son filz au monde/ pour iuger le	n’a point envoye son filz au monde/ pour juger le
monde: mais affin q̃ le monde soit sauue par luy.	monde: mais affin que le monde soit sauve par luy.
point/ il est desia iuge: car il ne croyt poit au nom	point/ il est desja juge: car il ne croyt point au nom
Par lequel nous auons fiance ⁊ acces en confi	Par lequel nous avons fiance et acces en confi¬
dence par la foy diceluy. Ephe.4.b.	dence par la foy d’iceluy. Ephe.4.b.
ne aux hões/ auq̃l il noꝰ faille estre sauuez. Act̃.4.b	ne aux hommes/ auquel il nous faille estre sauvez. Act̃.4.b
Uoicy cõme le filz de lhomme qui uenoit aux	Voicy comme le filz de l’homme qui venoit aux
nuees du ciel: Il luy dõna puissance/ ⁊ hõneur/ et	nuees du ciel: Il luy donna puissance/ et honneur/ et
seruirõt. Sa puissance est une puissance eternelle/	serviront. Sa puissance est une puissance eternelle/
aboly. Daniel.7.d.	aboly. Daniel.7.d.
Ilz serõt mõ peuple/ ⁊ ie leur seray Dieu: ⁊ mõ	Ilz seront mon peuple/ et je leur seray Dieu: et mon
steur deux tous. Ezech.37.f.	steur d’eux tous. Ezech.37.f.
roy/ lequel ie leur susciteray. Iere.30.b.	roy/ lequel je leur susciteray. Jere.30.b.
De toy me sortira le gouuerneur en Israel.	De toy me sortira le gouverneur en Israel.
Il regnera sur la maison de Iacob eternelle¬	Il regnera sur la maison de Jacob eternelle¬
Auiourdhuy nous est nay le sauueur/ qui est	Aujourdhuy nous est nay le sauveur/ qui est
Christ/ le seigneur. Luc.2.b.	Christ/ le seigneur. Luc.2.b.
tes choses ⁊ nous par luy. 1.Corin.8.b.	tes choses et nous par luy. 1.Corin.8.b.
Il mest dõne toute puissance au ciel ⁊ en la ter¬	Il m’est donne toute puissance au ciel et en la ter¬
re. Matth.28.d. Marc.16.b.	re. Matth.28.d. Marc.16.b.
na cõgneu le filz/ sinon le pere: ⁊ si nul na cõgneu	n’a congneu le filz/ sinon le pere: et si nul n’a congneu
reueler. Mat.11.d.	reveler. Mat.11.d.
Pere/ lheure est uenue: clarifie ton filz/ affin q̃	Pere/ l’heure est venue: clarifie ton filz/ affin que
sãce sur toute chair. Ieh.17.a. Ieh.13.a.	sance sur toute chair. Jeh.17.a. Jeh.13.a.
sur tout nom: affin que au nom de Iesus/ tout ge-	sur tout nom: affin que au nom de Jesus/ tout ge¬
nouil soit flechy de ceux qui sõt aux cieux et qͥ sõt	nouil soit flechy de ceux qui somt aux cieux et qui sont
nostre Seigñr est Iesus Christ/ a la gloire de dieu	nostre Seigneur est Jesus Christ/ a la gloire de dieu
Il faut q̃ il regne/ iusq̃ a ce quil mette tous ses	Il faut que il regne/ jusque a ce qu’il mette tous ses
ennemys soubz ses piedz. Et au dernier la mort en¬	ennemys soubz ses piedz. Et au dernier la mort en¬
choses soubz ses piedz. 1.Corin.15.d. Heb.2.b.	choses soubz ses piedz. 1.Corin.15.d. Heb.2.b.
te principaute/ ⁊ puissance/ ⁊ uertu/ ⁊ domination/	te principaute/ et puissance/ et vertu/ et domination/
⁊ tout nom lequel est nomme: non seulement en ce	et tout nom lequel est nomme: non seulement en ce
assubiecty toutes choses soubz les piedz diceluy/	assubjecty toutes choses soubz les piedz d’iceluy/
le corps diceluy/ et la plenitude de celuy qui est	le corps d’iceluy/ et la plenitude de celuy qui est
laccomplissement de toutes choses en toutes.	l’accomplissement de toutes choses en toutes.
En luy toute plenitude de diuinite abõde corpo¬	En luy toute plenitude de divinite abonde corpo¬
toute principaute ⁊ puissance. Colos.2.b.	toute principaute et puissance. Colos.2.b.
Conceu du sainct esperit.	Conceu du sainct esperit.
treshaut sera obumbree en toy. Luc.1.d.	tres haut sera obumbree en toy. Luc.1.d.
Nay de la uierge Marie.	Nay de la vierge Marie.
Uoicy la uierge conceuera/ ⁊ enfantera un en¬	Voicy la vierge concevera/ et enfantera un en¬
Quãd lacõplissement du tẽps fut uenu/ Dieu	Quand l’acomplissement du temps fut venu/ Dieu
Ayãt souffert soubz Põce Pilate ⁊c.	Ayant souffert soubz Ponce Pilate etc.
Ueritablemẽt Herode ⁊ Ponce Pilate auec les	Veritablement Herode et Ponce Pilate avec les
de ton sainct filz Iesus. Act.4.f. Mat.27.d.	de ton sainct filz Jesus. Act.4.f. Mat.27.d.
late/ bonne confession. 1.Timo.6.c.	late/ bonne confession. 1.Timo.6.c.
Ueritablemẽt il a prins sur soy noz infirmitez/	Veritablement il a prins sur soy noz infirmitez/
Il failloit que Christ souffrit. Luc.24.g.	Il failloit que Christ souffrit. Luc.24.g.
euesq̃s respõdirẽt. Nous nauõs point de roy/ sinõ	evesques respondirent. Nous n’avons point de roy/ sinon
Cesar. Alors dõc il leur liura iceluy pour le cruci¬	Cesar. Alors donc il leur livra iceluy pour le cruci¬
luy portãt la croix ⁊c. Iehã.19.d. Mat.27.d.	luy portant la croix etc. Jehã.19.d. Mat.27.d.
en ce que quãd nous estiõs encore pecheurs Christ	en ce que quand nous estions encore pecheurs Christ
est mort pour nous. Ro.5.b.	est mort pour nous. Ro.5.b.
exẽple/ affin que ensuyuiez ses pas. 1.Pier.2.d.	exemple/ affin que ensuyviez ses pas. 1.Pier.2.d.
poͬ les iniustes/ affin qͥl noꝰ offrit a dieu/ mortifiez	pour les injustes/ affin qu’il nous offrit a dieu/ mortifiez
certes en chair/ mais uiuifiez en esperit. 1.Pier.3.c.	certes en chair/ mais vivifiez en esperit. 1.Pier.3.c.
uent ne uiuẽt plus a eux/ mais a celuy qͥ est mort	vent ne vivent plus a eux/ mais a celuy qui est mort
Ioseph le print/ et le enueloppa de ung linceul	Joseph le print/ et le enveloppa de ung linceul
net/ ⁊ le mist en son monumẽt neuf/ lequel il auoit	net/ et le mist en son monument neuf/ lequel il avoit
Christ est mort pour noz pechez/ il a este enseue¬	Christ est mort pour noz pechez/ il a este enseve¬
escriptures. 1.Corin.15.a.	escriptures. 1.Corin.15.a.
Sẽtez en uous ce qui a este en Iesus Christ: leq̃l	Sentez en vous ce qui a este en Jesus Christ: lequel
point repute larcin estre esgal a Dieu: mais il sest	point repute larcin estre esgal a Dieu: mais il s’est
faict en la similitude des hõmes/ ⁊ trouue en appa	faict en la similitude des hommes/ et trouve en appa¬
rẽce cõme hõme. Il sest humilie soymesme ⁊ a este	rence comme homme. Il s’est humilie soymesme et a este
la croix. Philip.2.a.	la croix. Philip.2.a.
des mortz.	des mortz.
Ainsi cõme Ionas fut au uentre de la baleine	Ainsi comme Jonas fut au ventre de la baleine
me au coeur de la terre/ troys iours ⁊ troys nuictz.	me au coeur de la terre/ troys jours et troys nuictz.
Luy preuoiãt a parle de la resurrectiõ de Christ/	Luy prevoiant a parle de la resurrection de Christ/
que il na point este de laisse en enfer/ ⁊ sa chair na	que il n’a point este de laisse en enfer/ et sa chair n’a
Il nest point icy/ car il est resuscite. Mat.28.a.	Il n’est point icy/ car il est resuscite. Mat.28.a.
re/ affin que uous eussiez foy et esperance enuers	re/ affin que vous eussiez foy et esperance envers
Dieu. 1.Pierre.1.d.	Dieu. 1.Pierre.1.d.
mortz: affin quil soit tenant le premier lieu en tou¬	mortz: affin qu’il soit tenant le premier lieu en tou¬
Il a este liure pour noz pechez/ et a este resuscite	Il a este livre pour noz pechez/ et a este resuscite
pour nostre iustification. Ro.4.d.	pour nostre justification. Ro.4.d.
re du pere/ pareillement aussi nous cheminons en	re du pere/ pareillement aussi nous cheminons en
Beneit soit Dieu ⁊ le pere de nr̃e Seigñr Iesus	Beneit soit Dieu et le pere de nostre Seigneur Jesus
Christ/ qͥ selõ sa grãde misericorde noꝰ a regenerez	Christ/ qui selon sa grande misericorde nous a regenerez
des mortz/ a lheritage ĩcorruptible ⁊c. 1.Pe.1.a.3.d.	des mortz/ a l’heritage incorruptible etc. 1.Pe.1.a.3.d.
Nul nest mõte au ciel/ sinon le filz de lhõme qui	Nul n’est monte au ciel/ sinon le filz de l’homme qui
est descendu du ciel. Iehã.3.b.	est descendu du ciel. Jehã.3.b.
estoit prisonniere/ il a donne dons aux hommes.	estoit prisonniere/ il a donne dons aux hommes.
Et apres que le Seigñr Iesus eut parle a eux/	Et apres que le Seigneur Jesus eut parle a eux/
il fut receu au ciel/ et se sied a la dextre de Dieu.	il fut receu au ciel/ et se sied a la dextre de Dieu.
Et quãd il eut dit ces choses/ il fut esleue/ iceux	Et quand il eut dit ces choses/ il fut esleve/ iceux
Iesus qui est receu dauec uous au ciel: uiẽdra ainsi	Jesus qui est receu d’avec vous au ciel: viendra ainsi
cõme lauez ueu aller au ciel. Act.1.a.	comme l’avez veu aller au ciel. Act.1.a.
Seigneur dit a mon Seigñr: Siedz a ma dextre/	Seigneur dit a mon Seigneur: Siedz a ma dextre/
tes piedz. Act.2.f. Hebr.1.a.	tes piedz. Act.2.f. Hebr.1.a.
Nous auõs tel euesque/ qui est assis a la dextre	Nous avons tel evesque/ qui est assis a la dextre
Lequel est a la dextre de Dieu/ monte au ciel/	Lequel est a la dextre de Dieu/ monte au ciel/
1.Pierre.3.d. Ephe.1.d.	1.Pierre.3.d. Ephe.1.d.
Il sied a la dextre du thrõne de Dieu. Heb.12.a.	Il sied a la dextre du thronne de Dieu. Heb.12.a.
eternellemẽt a la dextre de Dieu: du surplus iusq̃	eternellement a la dextre de Dieu: du surplus jusque
piedz. Hebr.10.c. 1.Corin.15.d.	piedz. Hebr.10.c. 1.Corin.15.d.
Il faut q̃ le ciel recoyue Christ/ iusque au tẽps	Il faut que le ciel recoyve Christ/ jusque au temps
Iesus nest point entre aux sainctuaires faictz	Jesus n’est point entre aux sainctuaires faictz
affin q̃ maintenãt il apparoisse pour nous deuant	affin que maintenant il apparoisse pour nous devant
la face de Dieu. Heb.9.f. Ro.8.g.	la face de Dieu. Heb.9.f. Ro.8.g.
monte sur tous les cieux/ affin quil emplit toutes	monte sur tous les cieux/ affin qu’il emplit toutes
Se uous estes resuscitez auec Christ/ cerchez les	Se vous estes resuscitez avec Christ/ cerchez les
choses qui sont denhaut ou Christ est seand a la	choses qui sont d’enhaut ou Christ est seand a la
Se aucun uous dit: uoicy icy est Christ/ ou la/	Se aucun vous dit: voicy icy est Christ/ ou la/
phetes se esleuerõt/ ⁊ ferõt grandz signes et prodi¬	phetes se esleveront/ et feront grandz signes et prodi¬
ges/ tellemẽt que les esleux seront induis a erreur/	ges/ tellement que les esleux seront induis a erreur/
il uous disent: Uoicy il est au desert/ ne y allez	il vous disent: Voicy il est au desert/ ne y allez
croyez point. Car ainsi que lesclair sort de Oriẽt/	croyez point. Car ainsi que l’esclair sort de Orient/
⁊ apparoit iusque en Occidẽt/ ainsi sera aussi lad¬	et apparoit jusque en Occident/ ainsi sera aussi l’ad¬
13.c. Luc.17.e. ⁊. 21.c.	13.c. Luc.17.e. et. 21.c.
Nul ne uous seduise. Car le Seigñr ne uiẽdra	Nul ne vous seduise. Car le Seigneur ne viendra
point q̃ premieremẽt ne soit uenue la defaillance/ ⁊	point que premierement ne soit venue la defaillance/ et
aduersaire/ ⁊ se eslieue sur tout ce qui est dit Dieu/	adversaire/ et se eslieve sur tout ce qui est dit Dieu/
temple de Dieu/ se mõstrant cõme sil estoit Dieu.	temple de Dieu/ se monstrant comme s’il estoit Dieu.
2.Thessalo.2.a.	2.Thessalo.2.a.
une foys/ ⁊ apres ce le iugemẽt/ ainsi aussi Christ	une foys/ et apres ce le jugement/ ainsi aussi Christ
sieurs/ ⁊ il apparoistra secondemẽt sans peche/ a	sieurs/ et il apparoistra secondement sans peche/ a
tous ceux qui lattendent en salut. Heb.9.g.	tous ceux qui l’attendent en salut. Heb.9.g.
neray de rechief/ ⁊ uous receuray moymesme/ affin	neray de rechief/ et vous recevray moymesme/ affin
Il auoit este cõstitue de Dieu/ iuge des uifz et	Il avoit este constitue de Dieu/ juge des vifz et
des mortz. Act̃.10.f.	des mortz. Act̃.10.f.
tout iugement/ affin que tous hõnorent le filz/ cõe	tout jugement/ affin que tous honnorent le filz/ comme
iuger: car il est le filz de lhõme. Iehã.5.d.	juger: car il est le filz de l’homme. Jehã.5.d.
A ce est mort ⁊ resuscite Christ/ affin quil ayt	A ce est mort et resuscite Christ/ affin qu’il ayt
tous assisterõs deuãt le siege iudicial de Christ ⁊c.	tous assisterons devant le siege judicial de Christ etc.
Rom̃.14.b.	Rom̃.14.b.
Il nous faut tous estre manifestes deuãt le sie-	Il nous faut tous estre manifestes devant le sie¬
les propres choses du corps/ ainsi quil a faict: soit	les propres choses du corps/ ainsi qu’il a faict: soit
Du surplus la courõne de iustice mest gardee/	Du surplus la couronne de justice m’est gardee/
laquelle me rendra le Seigñr dieu iuste iuge/ en ce	laquelle me rendra le Seigneur dieu juste juge/ en ce
ceux qui ayment son aduenement. 2.Timo.4.b.	ceux qui ayment son advenement. 2.Timo.4.b.
salo.2.a. 1.Thes.4.d. Ro.2.a.b. 2.Pe.3.b. Iud.1.g.	salo.2.a. 1.Thes.4.d. Ro.2.a.b. 2.Pe.3.b. Jud.1.g.
¶ Ie croy au sainct esperit.	¶ Je croy au sainct esperit.
Ie espãdray de mon esperit sur toute chair. Ioel	Je espandray de mon esperit sur toute chair. Joel
Ie uous enuoyeray la ꝓmesse du pere en uous:	Je vous envoyeray la promesse du pere en vous:
⁊ uous/ demourez en la cite de Hierusalem: iusque	et vous/ demourez en la cite de Hierusalem: jusque
Luc.24.g.	Luc.24.g.
commanda quilz ne departissent point de Hieru¬	commanda qu’ilz ne departissent point de Hieru¬
salem: mais quilz attendissent la promesse du pe¬	salem: mais qu’ilz attendissent la promesse du pe¬
certes Iehan a baptise deaue: et uous serez un	certes Jehan a baptise d’eaue: et vous serez un
Actes.1.a.	Actes.1.a.
Si uous me aymez: gardez mes commande¬	Si vous me aymez: gardez mes commande¬
nera lautre consolateur/ pour demourer auec	nera l’autre consolateur/ pour demourer avec
lequel le monde ne poeut receuoir: car il ne le	lequel le monde ne poeut recevoir: car il ne le
uoit point/ et si ne le congnoist point: mais uous	voit point/ et si ne le congnoist point: mais vous
en uous. Iehan.14.c.	en vous. Jehan.14.c.
pere enuoyera en mon nom) iceluy uous enseigne¬	pere envoyera en mon nom) iceluy vous enseigne¬
ra toutes choses/ ⁊ uous reduira en memoire tou¬	ra toutes choses/ et vous reduira en memoire tou¬
han.14.d.	han.14.d.
uous enuoyeray de mon pere/ lesperit de uerite	vous envoyeray de mon pere/ l’esperit de verite
qui procede du pere/ iceluy rendra tesmoignage	qui procede du pere/ iceluy rendra tesmoignage
uous estes des le commencement auec moy. Ie¬	vous estes des le commencement avec moy. Je¬
Si ie ne men uoys: le consolateur ne uiendra	Si je ne m’en voys: le consolateur ne viendra
point a uous. Et se ie men uoys/ ie le uous en¬	point a vous. Et se je m’en voys/ je le vous en¬
dra le monde de peche/ et de iustice/ et de iuge¬	dra le monde de peche/ et de justice/ et de juge¬
creu en moy. Et de iustice: car ie men uoys a	creu en moy. Et de justice: car je m’en voys a
mon pere/ et plus ne me uerrez. Et de iugement:	mon pere/ et plus ne me verrez. Et de jugement:
Quãd iceluy uiendra qui est lesperit de uerite/ il	Quand iceluy viendra qui est l’esperit de verite/ il
Iceluy uous baptisera en sainct esperit et feu.	Iceluy vous baptisera en sainct esperit et feu.
Matth.3.c.	Matth.3.c.
rit/ il ne poeut entrer au royaume de Dieu. Ie¬	rit/ il ne poeut entrer au royaume de Dieu. Je¬
Lesperit inspire la ou il ueut/ et tu oys sa	L’esperit inspire la ou il veut/ et tu oys sa
uoix: mais tu ne scais dont elle uient/ ne la ou	voix: mais tu ne scais dont elle vient/ ne la ou
rit. Iehan.3.a.	rit. Jehan.3.a.
Seigneur/ la est liberte. 2.Corin.3.d.	Seigneur/ la est liberte. 2.Corin.3.d.
Ce nestes uous point qui parlez: mais cest	Ce n’estes vous point qui parlez: mais c’est
thieu.10.b.	thieu.10.b.
scauons point quelle chose nous deuons prier	scavons point quelle chose nous devons prier
comme il appartient: mais lesperit mesme prie	comme il appartient: mais l’esperit mesme prie
mains.8.e.	mains.8.e.
sainct esperit de promission/ qui est arre de nostre	sainct esperit de promission/ qui est arre de nostre
heritage. Ephe.1.c.	heritage. Ephe.1.c.
⁊ qui nous a oingt/ est Dieu: ⁊ celuy qui nous a	et qui nous a oingt/ est Dieu: et celuy qui nous a
2.Corinth.1.d.	2.Corinth.1.d.
Quiconque na lesperit de Christ/ il nest point	Quiconque n’a l’esperit de Christ/ il n’est point
Quicõques sont menez par lesperit de Dieu/	Quiconques sont menez par l’esperit de Dieu/
Pource que uous estes enfans de dieu: dieu a	Pource que vous estes enfans de dieu: dieu a
enuoye lesperit de sõ filz en uoz coeurs criãt Abba	envoye l’esperit de son filz en voz coeurs criant Abba
Certes celuy esperit rend tesmoignage a nostre	Certes celuy esperit rend tesmoignage a nostre
Dieu le nous a reuele par sõ esperit. Car lespe¬	Dieu le nous a revele par son esperit. Car l’espe¬
rit enquiert profondement toutes choses: aussi les	rit enquiert profondement toutes choses: aussi les
qui scait les choses de lhomme: sinon lesperit de	qui scait les choses de l’homme: sinon l’esperit de
les choses qui sont de Dieu nul ne les a congneu/	les choses qui sont de Dieu nul ne les a congneu/
sinon lesperit de Dieu. Et nous nauons point re¬	sinon l’esperit de Dieu. Et nous n’avons point re¬
affin que nous congnoissions les choses qui nous	affin que nous congnoissions les choses qui nous
Pour ce ie uous fay ascauoir: que nul parlant	Pour ce je vous fay ascavoir: que nul parlant
par lesperit de dieu/ ne dit parolle execrable de Ie¬	par l’esperit de dieu/ ne dit parolle execrable de Je¬
le sainct esperit. Il y a diuisions de graces: mais il	le sainct esperit. Il y a divisions de graces: mais il
Un mesme esperit faict toutes ces choses/ de¬	Un mesme esperit faict toutes ces choses/ de¬
partant a un chascun ainsi quil ueut. Car nous	partant a un chascun ainsi qu’il veut. Car nous
1.Corin.12.b.	1.Corin.12.b.
nom du pere ⁊ du filz ⁊ du saĩct esperit. Mat.28.d.	nom du pere et du filz et du sainct esperit. Mat.28.d.
Tous pechez seront pardonnez aux filz des hõ¬	Tous pechez seront pardonnez aux filz des hom¬
qui blasphemera contre le sainct esperit/ il naura	qui blasphemera contre le sainct esperit/ il n’aura
pable de eternel iugemẽt. Marc.3.d. Matth.12.c.	pable de eternel jugement. Marc.3.d. Matth.12.c.
Luc.12.b. Hebr.6.a.	Luc.12.b. Hebr.6.a.
nion des sainctz.	nion des sainctz.
uant/ colomne ⁊ fermete de uerite. 1.Timo.3.d.	vant/ colomne et fermete de verite. 1.Timo.3.d.
Les femmes soiẽt subiectes a leur maris/ ainsi	Les femmes soient subjectes a leur maris/ ainsi
femme: ainsi que Christ est chief de leglise: ⁊ iceluy	femme: ainsi que Christ est chief de l’eglise: et iceluy
subiecte a Christ: ainsi aussi les femmes soient a	subjecte a Christ: ainsi aussi les femmes soient a
leͬs maris en toutes choses. Uous marys/ aymez	leurs maris en toutes choses. Vous marys/ aymez
dõne soymesme pour elle/ affin qui la sanctifiast/	donne soymesme pour elle/ affin qui la sanctifiast/
de uie/ affin quil rendist a soy leglise glorieuse/	de vie/ affin qu’il rendist a soy l’eglise glorieuse/
nayant q̃lque tache/ ou ride/ ou aucune telle cho¬	n’ayant quelque tache/ ou ride/ ou aucune telle cho¬
Nous sommes membres de son corps/ de sa chair/	Nous sommes membres de son corps/ de sa chair/
Christ ⁊ en leglise. Ephe.5.e.	Christ et en l’eglise. Ephe.5.e.
Iceluy est le chief du corps de leglise. Colo.1.d.	Iceluy est le chief du corps de l’eglise. Colo.1.d.
Nul ne poeut mettre autre fõdemẽt q̃ celuy qui	Nul ne poeut mettre autre fondement que celuy qui
Sur le fõdemẽt des apostres ⁊ ꝓphetes. Eph.2.d	Sur le fondement des apostres et prophetes. Eph.2.d
Et la pierre estoit Christ. 1.Cor.10.a. 1.Pier.2.b.	Et la pierre estoit Christ. 1.Cor.10.a. 1.Pier.2.b.
Christ comme filz a administre la maison dice¬	Christ comme filz a administre la maison d’ice¬
ferme fiance ⁊ gloriation de lesperance/ iusque a la	ferme fiance et gloriation de l’esperance/ jusque a la
fin. Hebr.3.b.	fin. Hebr.3.b.
doulx/ duquel uous approchans/ qui est la pierre	doulx/ duquel vous approchans/ qui est la pierre
honnoree de Dieu. Soyez comme pierres uiues/	honnoree de Dieu. Soyez comme pierres vives/
edifiez sur elle/ en une maison spirituelle/ en un sa¬	edifiez sur elle/ en une maison spirituelle/ en un sa¬
sacerdoce royal/ la gent saincte/ le peuple dacqui¬	sacerdoce royal/ la gent saincte/ le peuple d’acqui¬
Uous nestes donc plus estrangiers ⁊ pelerins:	Vous n’estes donc plus estrangiers et pelerins:
mais uous estes citoyens des sainctz/ et domestic¬	mais vous estes citoyens des sainctz/ et domestic¬
stres et prophetes/ qui est la treshaute pierre angu¬	stres et prophetes/ qui est la tres haute pierre angu¬
struicte croist en un temple sainct en nostre Sei¬	struicte croist en un temple sainct en nostre Sei¬
gneur/ auquel uous aussi estes edifiez en un ta¬	gneur/ auquel vous aussi estes edifiez en un ta¬
Cestuy a donne/ aucuns pour estre apostres/	Cestuy a donne/ aucuns pour estre apostres/
autres pasteurs et docteurs pour la perfection	autres pasteurs et docteurs pour la perfection
des sainctz a loeuure de ladministration/ a ledi¬	des sainctz a l’oeuvre de l’administration/ a l’edi¬
tous allions au deuant en unite de foy et de con¬	tous allions au devant en unite de foy et de con¬
mesure de leage de la plenitude de Christ ⁊c.	mesure de l’eage de la plenitude de Christ etc.
Ephesiens.4.c.	Ephesiens.4.c.
de perfection/ ⁊ la paix de Christ soit en liesse en	de perfection/ et la paix de Christ soit en liesse en
corps. Colos.2.c.	corps. Colos.2.c.
Ne scauez uous pas que uous estes le temple de	Ne scavez vous pas que vous estes le temple de
se aucun uiole le temple de Dieu/ Dieu le destrui¬	se aucun viole le temple de Dieu/ Dieu le destrui¬
estes. 1.Corin.3.d.	estes. 1.Corin.3.d.
Ne scauez uous pas bien que uoz corps sont les	Ne scavez vous pas bien que voz corps sont les
membres sont le temple du sainct esperit/ qui est en	membres sont le temple du sainct esperit/ qui est en
a uous. Certes uous estes achetez de grand pris/	a vous. Certes vous estes achetez de grand pris/
glorifiez/ et portez dieu en uostre corps. 1.Corin¬	glorifiez/ et portez dieu en vostre corps. 1.Corin¬
Uous certes estes le tẽple de dieu uiuãt: ainsi q̃	Vous certes estes le temple de dieu vivant ainsi que
eux/ ⁊ ie seray leur dieu/ et ilz seront mon peuple.	eux/ et je seray leur dieu/ et ilz seront mon peuple.
2.Corin.6.d. 3.Moyse.26.b.	2.Corin.6.d. 3.Moyse.26.b.
Plusieurs faisons un corps en Christ. Roma.	Plusieurs faisons un corps en Christ. Roma.
Plusieurs sõmes un pain/ un corps: car nous	Plusieurs sommes un pain/ un corps: car nous
participõs tous dun mesme pain. 1.Corin.10.d.	participons tous d’un mesme pain. 1.Corin.10.d.
tous sont dun. Heb.2.c.	tous sont d’un. Heb.2.c.
aussi uous soyez sainctz en toute cõuersation: car	aussi vous soyez sainctz en toute conversation: car
il est escrit/ Uous serez sainctz/ car ie suis sainct.	il est escrit/ Vous serez sainctz/ car je suis sainct.
Rendans graces au pere/ qui nous a faict di¬	Rendans graces au pere/ qui nous a faict di¬
re/ qui nous a deliure de la puissãce des tenebres/	re/ qui nous a delivre de la puissance des tenebres/
⁊ nous a transportez au royaume du filz de sa dile	et nous a transportez au royaume du filz de sa dile
La uerite de dieu est en leglise des sainctz. Psal¬	La verite de dieu est en l’eglise des sainctz. Psal¬
Se il ne oyt point iceux dy le a leglise. Et sil	Se il ne oyt point iceux dy le a l’eglise. Et s’il
ne oyt point leglise/ il te soit cõme payen ou pu¬	ne oyt point l’eglise/ il te soit comme payen ou pu¬
mon nom/ ie suis la au millieu de eux. Mat.18.c.	mon nom/ je suis la au millieu de eux. Mat.18.c.
portes denfer ne pourront rien a lencontre delle.	portes d’enfer ne pourront rien a l’encontre d’elle.
Matth.16.c.	Matth.16.c.
de leglise/ instituez par Ie¬	de l’eglise/ instituez par Je¬
¶ Du baptesme.	¶ Du baptesme.
Allez par tout le monde/ ⁊ preschez leuangile a	Allez par tout le monde/ et preschez l’evangile a
