¶ Letres certaines dau	¶ Letres certaines d’au¬
porte et iuge/ sans renuerser lescripture.	porte et juge/ sans renverser l’escripture.
Ne taschons a surmõter ⁊ uaincre lung	Ne taschons a surmonter et vaincre l’ung
Car plꝰ belle uictoire ne pourriõs auoir	Car plus belle victoire ne pourrions avoir
roye content quil meust couste la uie/ et	roye content qu’il m’eust couste la vie/ et
que uerite fust cõgnue de tous. Tous	que verite fust congnue de tous. Tous
loient ainsi estre faict. Et nostre Maistre	loient ainsi estre faict. Et nostre Maistre
¶ La disputation faicte en la mai¬	¶ La disputation faicte en la mai¬
son de la uille de Geneue entre nr̃e	son de la ville de Geneve entre notre
Paris/ ⁊ les Predicantz estãs auec	Paris/ et les Predicantz estans avec
Berne/ assistãs le petit ⁊ grãd cõ¬	Berne/ assistans le petit et grand con¬
seil de la uille/ ⁊ plusieurs docteurs	seil de la ville/ et plusieurs docteurs
Nostre Maistre.	Nostre Maistre.
stre ce que iay dit par la saĩcte escripture:	stre ce que j’ay dit par la saincte escripture:
Ie forme ceste question/ Utrum assauoir	Je forme ceste question/ Utrum assavoir
dõner licitemẽt aucune chose/ qui ne soit	donner licitement aucune chose/ qui ne soit
re/ a quoy ilz obligent sur peine de peche	re/ a quoy ilz obligent sur peine de peche
mortel. A laquelle question ie respons	mortel. A laquelle question je respons
aux prelatz ⁊ pasteurs de leglise dordon	aux prelatz et pasteurs de l’eglise d’ordon¬
lesquelles ne sont contenues ne cõman¬	lesquelles ne sont contenues ne comman¬
dees en la saincte escripture/ en obligeãt	dees en la saincte escripture/ en obligeant
peche mortel. Et qͥl soit ainsi/ ie le preu¬	peche mortel. Et qu’il soit ainsi/ je le preu¬
Testamẽt. Premieremẽt il est escript au	Testament. Premierement il est escript au
Deutero. au .17. cha. Si difficile ⁊ ambi¬	Deutero. au .17. cha. Si difficile et ambi¬
leut en Latin en sa Bible quil tenoit/ et	leut en Latin en sa Bible qu’il tenoit/ et
le iugement estre difficile ⁊ doubteux en¬	le jugement estre difficile et doubteux en¬
tre le sang ⁊ le sang/ la cause ⁊ la cause/	tre le sang et le sang/ la cause et la cause/
uoys que les parolles des Iuges dedãs	voys que les parolles des Juges dedans
lieu que ton Seigneur Dieu aura esleu	lieu que ton Seigneur Dieu aura esleu
⁊ uiendras au prestre du gẽre Leuitique	et viendras au prestre du genre Levitique
manderas diceulx qui te monstreront la	manderas d’iceulx qui te monstreront la
diront ceulx qui sont cõstituez en ce lieuz	diront ceulx qui sont constituez en ce lieuz
lequel le Seigneur a esleu/ ⁊ tẽseignerõt	lequel le Seigneur a esleu/ et t’enseigneront
sentence ⁊ ne declineras a la dextre ne a	sentence et ne declineras a la dextre ne a
ra ne uolant obeyr au cõmandement du	ra ne volant obeyr au commandement du
prestre qui en ce temps sert a ton Seigñr	prestre qui en ce temps sert a ton Seigneur
du iuge. Et tu osteras le mal de Israel.	du juge. Et tu osteras le mal de Israel.
quen apres personne ne soit enfle par or¬	qu’en apres personne ne soit enfle par or¬
gueil. Parquoy il appert/ que nostre	gueil. Parquoy il appert/ que nostre
iuges/ ausquelz fault obeyr/ ⁊ quil ya en	juges/ ausquelz fault obeyr/ et qu’il y a en
affaires/ soit de la foy ou des meurs/ cõe	affaires/ soit de la foy ou des meurs/ come
est le Pape a qui fault par le cõmande¬	est le Pape a qui fault par le commande¬
Et ainsi il peult sentẽcier ⁊ ordõner/ cõ¬	Et ainsi il peult sentencier et ordonner/ com¬
cripture.	cripture.
Le Predicant.	Le Predicant.
ouyez patiemment/ ⁊ comme ie uous ay	ouyez patiemment/ et comme je vous ay
seul mot. Permettez aussi quon parle.	seul mot. Permettez aussi qu’on parle.
La conclusion que uous auez mise/ est	La conclusion que vous avez mise/ est
rite/ et ne lauez prouuee. Car le passage	rite/ et ne l’avez prouvee. Car le passage
ainsi que de soymesme se declaire/ en ce qͥl	ainsi que de soymesme se declaire/ en ce qu’il
est dict/ que le sacerdot cest adire le sacri¬	est dict/ que le sacerdot c’est adire le sacri¬
exposez le prestre/ ⁊ le iuge tenseignerõt	exposez le prestre/ et le juge t’enseigneront
autremẽt ne peuuent ⁊ ne doyuẽt parler	autrement ne peuvent et ne doyvent parler
ne enseigner/ comme grandement est de¬	ne enseigner/ comme grandement est de¬
rolles que nostre Seigneur a cõmande	rolles que nostre Seigneur a commande
autrement/ ordonnans quelque chose de	autrement/ ordonnans quelque chose de
leͬs testes que la parolle de Dieu porte/	leurs testes que la parolle de Dieu porte/
feroient signes ⁊ prodiges cõme il est cõ¬	feroient signes et prodiges comme il est com¬
adherant ⁊ suyuãt Dieu ouyãt sa uoix:	adherant et suyvant Dieu ouyant sa voix:
⁊ que celuy qui parle de sa teste meure de	et que celuy qui parle de sa teste meure de
par Moyse qui nestoit que seruiteur ⁊ au	par Moyse qui n’estoit que serviteur et au
muer/ changer/ ne ordonner sur la loy/ et	muer/ changer/ ne ordonner sur la loy/ et
oultre la loy: par plus forte raison au	oultre la loy: par plus forte raison au
qui est le filz demeurãt en la maison eter	qui est le filz demeurant en la maison eter¬
de la uerite/ il nest loysible dordonner ne	de la verite/ il n’est loysible d’ordonner ne
de proposer autre que ce que Iesus a or¬	de proposer autre que ce que Jesus a or¬
quicõque autre/ mesme ung ange du ciel	quiconque autre/ mesme ung ange du ciel
euãgelize/ que Iesus a ordõne/ quil soit	evangelize/ que Jesus a ordonne/ qu’il soit
mauldict ⁊ execrable. Gala.1.	mauldict et execrable. Gala.1.
Uous ne tenez point de forme de dispu¬	Vous ne tenez point de forme de dispu¬
prescher. Ie scay bien cõment il fault dis¬	prescher. Je scay bien comment il fault dis¬
puter/ ie suis docteur: ⁊ bien ay prouue q̃	puter/ je suis docteur: et bien ay prouve que
prestre Leuitique/ aussi il fault obeyr au	prestre Levitique/ aussi il fault obeyr au
sentoit parauant le prestre Leuitique/ cõ	sentoit paravant le prestre Levitique/ com¬
me ie monstre en brief/ ⁊ ne suis si long	me je monstre en brief/ et ne suis si long
Le Predicant.	Le Predicant.
plaira: mais apres ouyez le texte/ Assez	plaira: mais apres ouyez le texte/ Assez
monstre si le sacerdot le sacrificateur/ ⁊ le	monstre si le sacerdot le sacrificateur/ et le
sentẽce que selon la loy. Et uoꝰ adaptez	sentence que selon la loy. Et vous adaptez
crificateur Leuitique/ nest dit des p̃stres:	crificateur Levitique/ n’est dit des prestres:
car ilz ne sõt de la lignee de Leui/ ne aussi	car ilz ne sont de la lignee de Levi/ ne aussi
gure des prestres. Mais ainsi cõe le saĩct	gure des prestres. Mais ainsi come le sainct
uerains sacrificateurs ont este figure de	verains sacrificateurs ont este figure de
Iesus/ qui est le sacerdot le sacrificateur	Jesus/ qui est le sacerdot le sacrificateur
lequel na point de successeur uiuãt tous¬	lequel n’a point de successeur vivant tous¬
qui par la mort ne pouoient perseuerer/	qui par la mort ne povoient perseverer/
mais lung succedoit a lautre cõme Elea	mais l’ung succedoit a l’autre comme Elea¬
uant a loffice sacerdotal eternellement/ ⁊	vant a l’office sacerdotal eternellement/ et
en sa place/ ainsi tãt que Iesus est uiuãt	en sa place/ ainsi tant que Jesus est vivant
nen fault point ordonner dautre: ueu qͥl	n’en fault point ordonner d’autre: veu qu’il
serment/ ⁊ qͥl na besoing doffrir tous les	serment/ et qu’il n’a besoing d’offrir tous les
sacrificateurs de la loy/ offrãs sacrifices	sacrificateurs de la loy/ offrans sacrifices
qui ne pouuoiẽt effacer les pechez. Mais	qui ne pouvoient effacer les pechez. Mais
somme eternellemẽt les sãctifiez/ ce q̃ les	somme eternellement les sanctifiez/ ce que les
peu faire eussent cesse destre offers. Mais	peu faire eussent cesse d’estre offers. Mais
celuy de Iesus pourtãt quil est parfaict/	celuy de Jesus pourtant qu’il est parfaict/
foys Iesus est mort/ ⁊ plus ne morra/ le¬	foys Jesus est mort/ et plus ne morra/ le¬
cle faict de main dhõme/ ne par sang des	cle faict de main d’homme/ ne par sang des
bestes ⁊ estrange cõme les autres sacrifi¬	bestes et estrange comme les autres sacrifi¬
entre es cieulx par son propre sang appa	entre es cieulx par son propre sang appa¬
nous/ cõme conste pleinement par ce qui	nous/ comme conste pleinement par ce qui
est escript aux Ebrieux au .5.7.8.9.10.	est escript aux Ebrieux au .5.7.8.9.10.
nous monstre tous sacrifices pour salut	nous monstre tous sacrifices pour salut
offrent pour les pechez auoir cesse en Ie¬	offrent pour les pechez avoir cesse en Je¬
sus. Et par ainsi ne fault aller a autre sa	sus. Et par ainsi ne fault aller a autre sa¬
de Iesus. Leq̃l ainsi qͥl est esleu de Dieu	de Jesus. Lequel ainsi qu’il est esleu de Dieu
eternellemẽt tousiours uiuãt poͬ inter¬	eternellement tousjours vivant pour inter¬
ceder pour nous/ puyssãt de sauuer tous	ceder pour nous/ puyssant de sauver tous
blablement il est iuge sus tous. Car il est	blablement il est juge sus tous. Car il est
rie sus les uiuans ⁊ les mortz/ deuant le	rie sus les vivans et les mortz/ devant le
siege duquel fault que tous soiẽt presen¬	siege duquel fault que tous soient presen¬
iugemẽt. Iehan.5. Parquoy par la fi¬	jugement. Jehan.5. Parquoy par la fi¬
appert q̃ deuõs tous aller a ce tresgrand	appert que devons tous aller a ce tres grand
⁊ souuerain sacrificateur ⁊ iuge cõstitue	et souverain sacrificateur et juge constitue
admõneste en S. Matth.11. disãt: Uenez	admonneste en Sainct Matth.11. disant: Venez
uaillez/ ⁊ ie uous soulageray. Car par	vaillez/ et je vous soulageray. Car par
autre ne pouons estre instruictz a salut q̃	autre ne povons estre instruictz a salut que
autre fors ceulx a qui il le reuele/ cõe auð	autre fors ceulx a qui il le revele/ come audict
aussi douyr Iesus/ disant: Cestuy est mõ	aussi d’ouyr Jesus/ disant: Cestuy est mon
filz bien ayme/ ouyez le. Matth.17. Car	filz bien ayme/ ouyez le. Matth.17. Car
rolle/ elle sera exterminee. Deutero.18.	rolle/ elle sera exterminee. Deutero.18.
ne dit rien de soy/ mais seulemẽt ce que le	ne dit rien de soy/ mais seulement ce que le
pere luy a cõmande cõe il dit clairement:	pere luy a commande come il dit clairement:
les oeuures. Ie ne parle point de moy: la	les oeuvres. Je ne parle point de moy: la
moy/ mais a mõ pere qui ma enuoye. Et	moy/ mais a mon pere qui m’a envoye. Et
cõe mon pere ma cõmande/ ainsi ie fais.	come mon pere m’a commande/ ainsi je fais.
qui nest du tout rien au pris de Iesus/ et	qui n’est du tout rien au pris de Jesus/ et
⁊ puyssance de Iesus/ osera en leglise de	et puyssance de Jesus/ osera en l’eglise de
Dieu poͬ le seruice de Dieu faire aucũs	Dieu pour le service de Dieu faire aucuns
autre chose q̃ ce que clairemẽt est cõmãde	autre chose que ce que clairement est commande
escripture/ puys q̃ Iesus de si grãde auto	escripture/ puys que Jesus de si grande auto¬
rite ⁊ puyssance ne la point faict: disant	rite et puyssance ne l’a point faict: disant
les prophetes/ mais pour les accõplir/ et	les prophetes/ mais pour les accomplir/ et
cõmande/ mõstre quil failloit ainsi estre	commande/ monstre qu’il failloit ainsi estre
accõply ce qui auoit este dit par les ꝓphe	accomply ce qui avoit este dit par les prophe¬
dit il point aussi quil nẽseigne autre q̃ ce	dit il point aussi qu’il n’enseigne autre que ce
Act.26? ⁊ ne parle q̃ ce que Iesus a faict	Act.26? et ne parle que ce que Jesus a faict
en luy. Ro.15. disant/ q̃ quãd se seroit luy	en luy. Ro.15. disant/ que quand se seroit luy
roit autremẽt qͥl soit mauldict. Gala.1?	roit autrement qu’il soit mauldict. Gala.1?
tenir a ce que Iesus nous a laisse: ⁊ quil	tenir a ce que Jesus nous a laisse: et qu’il
nest loysible a hõme de faire autres ordõ	n’est loysible a homme de faire autres ordon¬
ne pasteur quil soit.	ne pasteur qu’il soit.
Ce que uous dictes/ ne faict riẽ cõtre ma	Ce que vous dictes/ ne faict rien contre ma
probatiõ. Car ainsi quẽ la loy de Moyse	probation. Car ainsi qu’en la loy de Moyse
Nombres.35. Ainsi il fault quen Leglise	Nombres.35. Ainsi il fault qu’en L’eglise
il fault obeyr/ ainsi cõme nr̃e Seigñr cõ¬	il fault obeyr/ ainsi comme notre Seigneur com¬
mande/ disant: Que les Scribes ⁊ Pha	mande/ disant: Que les Scribes et Pha¬
faictes tout ce qͥlz uous disent. Matt.23.	faictes tout ce qu’ilz vous disent. Matt.23.
Ebrieux.13. Obeyssez a ceulx qͥ sont pre	Ebrieux.13. Obeyssez a ceulx qui sont pre¬
posez ⁊ cõstituez sus uous. En quoy biẽ	posez et constituez sus vous. En quoy bien
Seigͬ y a eu des pasteurs qͥ ont eu puys¬	Seigneur y a eu des pasteurs qui ont eu puys¬
mandemẽs qui ne sont point cõtenus en	mandemens qui ne sont point contenus en
Leuãgile ainsi quil est necessaire pour le	L’evangile ainsi qu’il est necessaire pour le
cõmandemẽs ⁊ ordõnances soubz peine	commandemens et ordonnances soubz peine
cõmandãt de tenir les traditiõs ⁊ ordon	commandant de tenir les traditions et ordon¬
nãces des anciẽs qͥ estoiẽt en Hierusalẽ/	nances des anciens qui estoient en Hierusalem/
les garder/ cõe il est cõtenu aux Act.16.	les garder/ come il est contenu aux Act.16.
lique de Rõme a ung chef/ cest le Pape/	lique de Romme a ung chef/ c’est le Pape/
qͥ aux choses doubteuses doit mettre fin/	qui aux choses doubteuses doit mettre fin/
obligeãs tous soubz peine de peche mor¬	obligeans tous soubz peine de peche mor¬
dioceses. Et pourtant la conclusion de¬	dioceses. Et pourtant la conclusion de¬
meure uraye ⁊ assez prouuee.	meure vraye et assez prouvee.
Uous dictes biẽ quil fault en Leglise de	Vous dictes bien qu’il fault en L’eglise de
est tenu luy obeyr: mais uous le mõstrez	est tenu luy obeyr: mais vous le monstrez
mal/ ⁊ mettez ung autre q̃ lescripture ne	mal/ et mettez ung autre que l’escripture ne
le Pape soit chef ne souuerain en Legli¬	le Pape soit chef ne souverain en L’egli¬
seul chef ⁊ le seul espoux de Leglise: ueu	seul chef et le seul espoux de L’eglise: veu
quil a lespouse/ ⁊ estant du ciel/ il est sus	qu’il a l’espouse/ et estant du ciel/ il est sus
thieu.23. Le chef donnant salut a tout le	thieu.23. Le chef donnant salut a tout le
stre/ luy seul est le souuerain sacrificateͬ	stre/ luy seul est le souverain sacrificateur
figure en la loy. Ebrie.7.9. A Iesus noꝰ	figure en la loy. Ebrie.7.9. A Jesus nous
Et ce qͥ est dit des Scribes ⁊ Pharisiẽs/	Et ce qui est dit des Scribes et Pharisiens/
quilz soiẽt assis sur la chayere de Moyse/	qu’ilz soient assis sur la chayere de Moyse/
cest qͥlz disent ce que Moyse a dit. Autre¬	c’est qu’ilz disent ce que Moyse a dit. Autre¬
ge ⁊ de mocquerie: ne se fault arrester a ce	ge et de mocquerie: ne se fault arrester a ce
la pure doctrine de Iesus/ sont douyr/ et	la pure doctrine de Jesus/ sont d’ouyr/ et
fault faire ce qͥlz disent. Car autremẽt ce	fault faire ce qu’ilz disent. Car autrement ce
mais Iesus duq̃l la parolle est ꝓposee.	mais Jesus duquel la parolle est proposee.
der cõme des faulx ꝓphetes ⁊ du leuain	der comme des faulx prophetes et du levain
des Scribes ⁊ Pharisiẽs. Mat.7.16. Il	des Scribes et Pharisiens. Mat.7.16. Il
cõmande obeyr a ceulx qui sont cõstituez	commande obeyr a ceulx qui sont constituez
p̃schẽt ⁊ enseignẽt puremẽt la parolle de	preschent et enseignent purement la parolle de
Dieu/ autremẽt nentrẽt en ⁊ par uerite	Dieu/ autrement n’entrent en et par verite
larrõs ⁊ brigãs. Iehã.10. Car ꝓposans	larrons et brigans. Jehan.10. Car proposans
le mariage/ ⁊ qui cõmãdẽt quon se abstiẽ	le mariage/ et qui commandent qu’on se abstien¬
ne des uiãdes que nr̃e Seigͬ a crees pour	ne des viandes que notre Seigneur a crees pour
foy tenãs doctrines des diables cõme est	foy tenans doctrines des diables comme est
mãde quõ ne se laysse seduyre nestre iuge	mande qu’on ne se laysse seduyre n’estre juge
en uiãde ne breuage nen iour de la feste.	en viande ne brevage n’en jour de la feste.
mande de garder Act.16. aux ordõnãces	mande de garder Act.16. aux ordonnances
auoiẽt ordõne en Ierusalẽ/ auoit este cõ¬	avoient ordonne en Jerusalem/ avoit este com¬
mãde de Iesus: ⁊ ainsi ꝑ le S. esperit les	mande de Jesus: et ainsi par le Sainct esperit les
En quoy assez est clair qͥl nya autre chef	En quoy assez est clair qu’il n’y a autre chef
pasteurs ilz ne peuuẽt ⁊ ne doyuẽt ordõ¬	pasteurs ilz ne peuvent et ne doyvent ordon¬
ner ⁊ ꝓposer autre/ q̃ ce que Iesus suffi¬	ner et proposer autre/ que ce que Jesus suffi¬
fault corriger en adioustãt ou diminuãt	fault corriger en adjoustant ou diminuant
Nostre Maistre.	Nostre Maistre.
Cõment dictes uous que ce que Lapostre	Comment dictes vous que ce que L’apostre
Leuangile? ou trouuez uous que Iesus	L’evangile? ou trouvez vous que Jesus
estranglees/ ⁊ des sacrifiees aux idoles?	estranglees/ et des sacrifiees aux idoles?
uoꝰ nẽ auez ung seul mot en tout Leuã	vous n’en avez ung seul mot en tout L’evan¬
ia besoing que les Apostres ⁊ anciẽs eus¬	ja besoing que les Apostres et anciens eus¬
fendre. Il suffisoit qͥl fut defendu de Ie¬	fendre. Il suffisoit qu’il fut defendu de Je¬
sus. Mais pourtãt q̃ nr̃e Seigñr Iesus	sus. Mais pourtant que notre Seigneur Jesus
Paistz mes brebis. Iehã.21. le cõstituãt	Paistz mes brebis. Jehan.21. le constituant
clefz du royaume des cieulx/ ayant aussi	clefz du royaume des cieulx/ ayant aussi
estably lautorite des concilz/ disant: q̃ ce	estably l’autorite des concilz/ disant: que ce
⁊ ce qͥlz deslyeroiẽt en la terre/ seroit des¬	et ce qu’ilz deslyeroient en la terre/ seroit des¬
uec le cõcil ordõna les quatre articles cõ	vec le concil ordonna les quatre articles con¬
tenus en la defense faicte. Car S. Pierre	tenus en la defense faicte. Car Sainct Pierre
Et aussi les saĩctz cõcilz ont eu puyssan¬	Et aussi les sainctz concilz ont eu puyssan¬
garder soubz peine de peche mortel.	garder soubz peine de peche mortel.
Le Predicant.	Le Predicant.
ne faire ordõnãce autre q̃ ce que Iesus a	ne faire ordonnance autre que ce que Jesus a
cuns fardeaulx de cõstitutiõs. Mais ap	cuns fardeaulx de constitutions. Mais ap¬
pelle ce tẽpter Dieu/ disant deuãt tous:	pelle ce tempter Dieu/ disant devant tous:
charge sur les disciples q̃ nous ne noz pe¬	charge sur les disciples que nous ne noz pe¬
la grace de Dieu destre sauuez cõe iceulx	la grace de Dieu d’estre sauvez come iceulx
Act.15. Parquoy la saincte assemblee des	Act.15. Parquoy la saincte assemblee des
Ierusalem/ reprenãs les prescheurs qui	Jerusalem/ reprenans les prescheurs qui
de S. Paul ⁊ Barnabas sestoiẽt cõuer¬	de Sainct Paul et Barnabas s’estoient conver¬
tis didolatrie a Iesus/ qͥlz deuoient estre	tis d’idolatrie a Jesus/ qu’ilz devoient estre
uent qͥlz nont point este consentans/ ⁊ ne	vent qu’ilz n’ont point este consentans/ et ne
sus de lobseruatiõ de la loy de Moyse/ cõ	sus de l’observation de la loy de Moyse/ com¬
bien quelle a este dõnee par nr̃e Seigñr.	bien qu’elle a este donnee par notre Seigneur.
qͥlz se gardẽt du sãg/ ð lestrãgle/ ð loffert	qu’ilz se gardent du sang/ de l’estrangle/ de l’offert
bon droict: affin que par leur manger/ ilz	bon droict: affin que par leur manger/ ilz
ne scãdalizassent leur ꝓchain/ ce que nr̃e	ne scandalizassent leur prochain/ ce que notre
Lapostre le mõstre aux Romaĩs au .14.	L’apostre le monstre aux Romains au .14.
Car plusieurs sans auoir esgard a leur	Car plusieurs sans avoir esgard a leur
prochain les scandalizoiẽt en mangeãt/	prochain les scandalizoient en mangeant/
par le cõmandement de Iesus.	par le commandement de Jesus.
Quand il ny eut autre q̃ le scãdale/ il ne	Quand il n’y eut autre que le scandale/ il ne
failloit ia faire pour ce ordonnance. Car	failloit ja faire pour ce ordonnance. Car
de tenir ceste ordõnance: mais S. Pierre	de tenir ceste ordonnance: mais Sainct Pierre
sance q̃ nr̃e Seigñr leur a donnee luy cõ¬	sance que notre Seigneur leur a donnee luy com¬
mettant les brebis/ ⁊ le cõstituãt chef de	mettant les brebis/ et le constituant chef de
des cieulx/ quand il dit: Paistz mes bre¬	des cieulx/ quand il dit: Paistz mes bre¬
ce. Et ie uoꝰ demãde/ puys q̃ uoꝰ dictes	ce. Et je vous demande/ puys que vous dictes
q̃ cecy qͥ est cõmande de soy garder/ est du	que cecy qui est commande de soy garder/ est du
de scãdale/ si cessant le scãdale il oblige ⁊	de scandale/ si cessant le scandale il oblige et
car uous estes fort long. Nous ne som¬	car vous estes fort long. Nous ne som¬
mes pas icy pour p̃scher/ mais pour dis¬	mes pas icy pour prescher/ mais pour dis¬
Le Predicant.	Le Predicant.
paciẽce douyr/ cõme lon est prest de uous	pacience d’ouyr/ comme l’on est prest de vous
ouyr si longuemẽt quil uous plairra de	ouyr si longuement qu’il vous plairra de
deuoit esmouuoir les Apostres de defen¬	devoit esmouvoir les Apostres de defen¬
puys q̃ nr̃e Seigñr lauoit assez defendu/	puys que notre Seigneur l’avoit assez defendu/
certes il est tout au cõtraire. Car pourtãt	certes il est tout au contraire. Car pourtant
seruiteͬs de Iesus ilz le deuoiẽt defẽdre/	serviteurs de Jesus ilz le devoient defendre/
bien ꝓpose le cõmandemẽt de Iesus/ qui	bien propose le commandement de Jesus/ qui
dit quõ pardõne a ceulx qui ont faict in¬	dit qu’on pardonne a ceulx qui ont faict in¬
de remettre et pardonner/ sil uient dire:	de remettre et pardonner/ s’il vient dire:
donne luy/ en ce faisant il ne dõne point	donne luy/ en ce faisant il ne donne point
nouueau commandemẽt/ mais celuy de	nouveau commandement/ mais celuy de
mandãs deuiter scandale/ lequel cessant	mandans d’eviter scandale/ lequel cessant
quãd mon frere a indigẽce suys tenu luy	quand mon frere a indigence suys tenu luy
dõner de mes biẽs: ⁊ quãd il nen a point	donner de mes biens: et quand il n’en a point
demandez/ il est clair que maintenant ne	demandez/ il est clair que maintenant ne
scãdale ⁊ ꝑsonne ne dit que celuy qͥ mãge	scandale et personne ne dit que celuy qui mange
du sang peche. En quoy bien appert quẽ	du sang peche. En quoy bien appert qu’en
mẽt de Iesus/ cest le scãdale. Et cecy biẽ	ment de Jesus/ c’est le scandale. Et cecy bien
⁊ cõcilz ⁊ toutes leurs ordonnances. Car	et concilz et toutes leurs ordonnances. Car
sil est ainsi que ce qui a este ordonne en ce	s’il est ainsi que ce qui a este ordonne en ce
tenu en la saincte escripture/ que le sainct	tenu en la saincte escripture/ que le sainct
oblige fors que tant q̃ le cõmandemẽt de	oblige fors que tant que le commandement de
Iesus astreinct/ ⁊ cessant lobligation du	Jesus astreinct/ et cessant l’obligation du
noblige point. Par plus forte raison les	n’oblige point. Par plus forte raison les
sont enregistrees en la saincte escripture	sont enregistrees en la saincte escripture
cõe ceste/ ⁊ qui ne sont par le S. esperit si	come ceste/ et qui ne sont par le Sainct esperit si
si ny a expres cõmandemẽt qui cõmande	si n’y a expres commandement qui commande
Et ne fault q̃ pource que nr̃e Seigñr a cõ	Et ne fault que pour ce que notre Seigneur a com¬
mande a S. Pierre de nourrir les brebis	mande a Sainct Pierre de nourrir les brebis
Car il dit: paistz mes brebis/ non les tiẽ¬	Car il dit: paistz mes brebis/ non les tien¬
Papes q̃ uoꝰ dictes successeͬs de S. Pier	Papes que vous dictes successeurs de Sainct Pier¬
re/ duq̃l ne tiẽnent rien. Leglise na quũg	re/ duquel ne tiennent rien. L’eglise n’a qu’ung
lemẽt: lequel a dõne a S. Pierre ⁊ a tous	lement: lequel a donne a Sainct Pierre et a tous
rite les clefz du royaume des cieulx/ qͥ ne	rite les clefz du royaume des cieulx/ qui ne
sont que Leuãgile la parolle de Dieu/ et	sont que L’evangile la parolle de Dieu/ et
filz de Dieu uiuãt/ Leuãgile/ la pure pa	filz de Dieu vivant/ L’evangile/ la pure pa¬
qui puremẽt portẽt la doctrine de Iesus.	qui purement portent la doctrine de Jesus.
Et ainsi q̃ par la parolle de Dieu ilz an¬	Et ainsi que par la parolle de Dieu ilz an¬
en Iesus/ qͥ delaissẽt leur mauuaise uie/	en Jesus/ qui delaissent leur mauvaise vie/
la parolle de Dieu/ selon quelle contient	la parolle de Dieu/ selon quelle contient
il est faict/ ⁊ declairãs aux infideles en¬	il est faict/ et declairans aux infideles en¬
dẽnation de Dieu cõtenue en la parolle	demnation de Dieu contenue en la parolle
sa parolle. Et autremẽt ne peult lhõme	sa parolle. Et autrement ne peult l’homme
ouurir ne fermer le royaume des cieulx/	ouvrir ne fermer le royaume des cieulx/
sant la parolle de Dieu/ cõe nr̃e Seigñr	sant la parolle de Dieu/ come notre Seigneur
p̃scher Leuãgile a toute creature: ⁊ Leuã	prescher L’evangile a toute creature: et L’eva¬
gile p̃schee/ ceulx qͥ croyẽt ⁊ sont baptizez	gile preschee/ ceulx qui croyent et sont baptizez
desliemẽt/ ⁊ la remissiõ des pechez auoir	desliement/ et la remission des pechez avoir
ne croit point/ est condemne: la est cloz le	ne croit point/ est condemne: la est cloz le
ciel/ le lyemẽt/ la retẽtion des pechez. Au¬	ciel/ le lyement/ la retention des pechez. Au¬
rolle de Dieu/ il na les clefz du royaume	rolle de Dieu/ il n’a les clefz du royaume
uant point les choses de Dieu mais des	vant point les choses de Dieu mais des
hõmes/ cõme Iesus luy dit Matth.16.	hommes/ comme Jesus luy dit Matth.16.
Dieu ⁊ ne la portent/ mais empeschent	Dieu et ne la portent/ mais empeschent
cloans ⁊ fermans le royaume des cieulx	cloans et fermans le royaume des cieulx
deuãt les hõmes/ ⁊ ny entrẽt point/ ⁊ ne	devant les hommes/ et n’y entrent point/ et ne
Matth.23. ilz ostent la clef de sciẽce sans	Matth.23. ilz ostent la clef de science sans
entrer. Luc.11. Et autrement Leglise ne	entrer. Luc.11. Et autrement L’eglise ne
peult lyer ne deslyer sinõ en apportãt la	peult lyer ne deslyer sinon en apportant la
de Dieu iamais ne sappella chef de Le¬	de Dieu jamais ne s’appella chef de L’e¬
Car S. Pierre ne sappelle ne Pape ne	Car sainct Pierre ne s’appelle ne Pape ne
souuerain: mais simplemẽt Apostre/ pre	souverain: mais simplement Apostre/ pre¬
Les p̃stres qui sont entre uous/ moy qui	Les prestres qui sont entre vous/ moy qui
en uoꝰ le troppeau du Seigͬ. 1.Pierre.5.	en vous le troppeau du Seigneur. 1.Pierre.5.
qui nest autre chose que p̃scher la parolle	qui n’est autre chose que prescher la parolle
p̃scher ne leurs ordonnances ne dautres:	prescher ne leurs ordonnances ne d’autres:
seruiteurs de Leglise ⁊ non chef cõme dit	serviteurs de L’eglise et non chef comme dit
Lapostre: Nous ne p̃schons point nous	L’apostre: Nous ne preschons point nous
nous uoz seruiteͬs en Iesus. 2.Corin.4.	nous voz serviteurs en Jesus. 2.Corin.4.
Papales ⁊ puyssance de cõstituer ⁊ faire	Papales et puyssance de constituer et faire
ordõnances/ lescripture nen a rien: mais	ordonnances/ l’escripture n’en a rien: mais
Nostre Maistre.	Nostre Maistre.
uerain/ ainsi quen la loy anciẽne y auoit	verain/ ainsi qu’en la loy ancienne y avoit
ung souuerain p̃stre qui a este figure de	ung souverain prestre qui a este figure de
uant a este dict. Et Dieu a dõne puyssã¬	vant a este dict. Et Dieu a donne puyssan¬
donnant les clefz du royaume des cieulx	donnant les clefz du royaume des cieulx
de faire ordõnances ⁊ sentẽces lesquelles	de faire ordonnances et sentences lesquelles
du souuerain p̃stre de la loy/ ⁊ a S. Pier	du souverain prestre de la loy/ et a sainct Pier¬
obedience ⁊ leur obeyr/ sans uouloir dif¬	obedience et leur obeyr/ sans vouloir dif¬
puter ne senquester du cõtraire/ puys que	puter ne s’enquester du contraire/ puys que
