¶ Sensuyuẽt plusieurs	¶ S'ensuyvent plusieurs
Et leur chemin/ perira en la fin	Et leur chemin/ perira en la fin
Et leurs docteurs/ iront tous a declin	Et leurs docteurs/ iront tous a declin
Et seront mis/ a mort par la parolle	Et seront mis/ a mort par la parolle
De Iesus christ/ qui le croyant cõsolle.	De Jesus christ/ qui le croyant consolle.
¶ Mõ dieu a toy: ie rẽdz gloire ⁊ hõneͬ	¶ Mon dieu a toy: je rendz gloire et honneur
A Christ aussi/ ton bien ayme enfant	A Christ aussi/ ton bien ayme enfant
Lequel pour uray/ est faict mediateur:	Lequel pour vray/ est faict mediateur:
Iournellemẽt/ pour le pecheur errant	Journellement/ pour le pecheur errant
Nostre salut/ est de luy dependant	Nostre salut/ est de luy dependant
Grace ⁊ ꝑdon/ a ioĩctes maĩs demãde	Grace et pardon/ a joinctes mains demande
REcteur du ciel a toy me recõmande.	REcteur du ciel a toy me recommande.
¶ Aultre chãson/ sur le chant Mon	¶ Aultre chanson/ sur le chant Mon
poure cueur est en prison. Dieu gard	povre cueur est en prison. Dieu gard¬
de mal qui luy a mis ⁊c.	de mal qui luy a mis etc.
M	M¬
On dieu sauue moy/ en ton non	On dieu sauve moy/ en ton non
Et me iuge/ par ta uertu	Et me juge/ par ta vertu
Exaulse aussi/ mon oraison	Exaulse aussi/ mon oraison
Quand ie le croy/ aussi faictz tu:	Quand je le croy/ aussi faictz tu:
Ie ne crains satan/ ung festu:	Je ne crains satan/ ung festu:
La mort/ enfer/ ne ses tourmentz	La mort/ enfer/ ne ses tourmentz
Ne Lantechrist/ fol ⁊ testu	Ne L'antechrist/ fol et testu
Car tu es uray/ en iugemens.	Car tu es vray/ en jugemens.
¶ Sauue seray/ par ton sermon	¶ Sauve seray/ par ton sermon
Plus trẽchant/ quũg glaiue pointu	Plus trenchant/ qu'ung glaive pointu
Qui faict du corps diuision	Qui faict du corps division
Et de lesprit/ par foy uestu:	Et de l'esprit/ par foy vestu:
Par mes pechez/ suis desuestu:	Par mes pechez/ suis desvestu:
De tous mes bons habillemens	De tous mes bons habillemens
Par ta grace/ suis reuestu	Par ta grace/ suis revestu
Car tu es uray/ en iugemens.	Car tu es vray/ en jugemens.
¶ Caphars/ remplis de fiction	¶ Caphars/ remplis de fiction
Ont lhonneur de dieu abbatu	Ont l'honneur de dieu abbatu
Nous promettant remission/	Nous promettant remission/
Mais tout compte/ ⁊ rabbatu:	Mais tout compte/ et rabbatu:
Par Christ/ satan est combatu	Par Christ/ satan est combatu
Et non point/ par leurs sacremens	Et non point/ par leurs sacremens
Qui ne le croyt/ sera battu	Qui ne le croyt/ sera battu
Car tu es uray/ en iugemens.	Car tu es vray/ en jugemens.
¶ Aultre chãson/ sur le chant Quãd	¶ Aultre chanson/ sur le chant Quand
me souuient de la poullaile/ ⁊c.	me souvient de la poullaile/ etc.
Q	Q¬
Uant me souuient/ de leuangile	Uant me souvient/ de l'evangile
que souloys p̃scher/ sur les chãps	que souloys prescher/ sur les champs
Estant chasse/ de uille en uille	Estant chasse/ de ville en ville
Et desprise/ des gens meschans	Et desprise/ des gens meschans
Tant de bourgeoys/ que de marchans	Tant de bourgeoys/ que de marchans
Ie mesiouys/ en Iesus Christ	Je m'esjouys/ en Jesus Christ
Au nom duquel/ ie faictz mes chantz	Au nom duquel/ je faictz mes chantz
Par la uertu/ du sainct esprit.	Par la vertu/ du sainct esprit.
¶ Maintenant suis en prison uile:	¶ Maintenant suis en prison vile:
Iambes ⁊ piedz/ en fers pesans	Jambes et piedz/ en fers pesans
Mais iay lesprit/ cler ⁊ agile	Mais j'ay l'esprit/ cler et agile
Quoy quen disent/ les mesdisans	Quoy qu'en disent/ les mesdisans
Auant quil soit/ iamais dix ans	Avant qu'il soit/ jamais dix ans
Sil plait a dieu/ qui tout regit	S'il plait a dieu/ qui tout regit
Ien sortiray/ maulgre les gens	J'en sortiray/ maulgre les gens
Par la uertu/ du sainct esprit.	Par la vertu/ du sainct esprit.
¶ Le sang humain/ est moult fertile	¶ Le sang humain/ est moult fertile
Par Iesus christ/ fructifiant	Par Jesus christ/ fructifiant
Doncques ma mort/ sera utile	Doncques ma mort/ sera utile
Le nom de dieu/ glorifiant	Le nom de dieu/ glorifiant
Et mon prochain edifiant	Et mon prochain edifiant
En me uoyant/ par foy contrit	En me voyant/ par foy contrit
Ie suis icy/ en my fiant	Je suis icy/ en my fiant
Par la uertu/ du sainct esprit.	Par la vertu/ du sainct esprit.
¶ Prince duquel/ tout bien distile	¶ Prince duquel/ tout bien distile
Aultre que toy/ ie ne pretendz	Aultre que toy/ Je ne pretendz
Tu ma mis hors/ par ton concile:	Tu m'a mis hors/ par ton concile:
A ioinctes mains/ graces ten rendz	A joinctes mains/ graces t'en rendz
A te seruir/ ie prens les rancz	A te servir/ je prens les rancz
Car de tes mains/ nul ne perit	Car de tes mains/ nul ne perit
Grace ⁊ pardon/ de toy iattendz	Grace et pardon/ de toy j'attendz
Par la uertu/ du sainct esprit.	Par la vertu/ du sainct esprit.
¶ Aultre chanson/ sur le chant	¶ Aultre chanson/ sur le chant
Cõge mauez dõne/ et de uous ⁊c.	Conge m'avez donne/ et de vous etc.
M	M
Isticques chrestiens/	Isticques chrestiens/
De iustice amateurs/	De justice amateurs/
De ces pharisiens/	De ces pharisiens/
Euitez les erreurs	Evitez les erreurs
Soyez imitateurs/	Soyez imitateurs/
Du sauueur Iesus christ/	Du sauveur Jesus christ/
Affin que seruiteurs/	Affin que serviteurs/
Ne soyez Dantechrist.	Ne soyez D'antechrist.
¶ En org◊illeux habitz/	¶ En orgueilleux habitz/
Il sen ira marchant/	Il s'en ira marchant/
Despouillant les brebis/	Despouillant les brebis/
Comme ung larron meschant/	Comme ung larron meschant/
Mais Iesus roy puissant/	Mais Jesus roy puissant/
En toute humilite/	En toute humilite/
Aux siens sera seruant/	Aux siens sera servant/
Par grande charite.	Par grande charite.
¶ Couronne sera dor/	¶ Couronne sera d'or/
Tresprecieusement/	Tresprecieusement/
Et si aura thresor/	Et si aura thresor/
Pour uiure plaisamment/	Pour vivre plaisamment/
Mais Iesus christ urayement/	Mais Jesus christ vrayement/
Despine est couronne/	D'espine est couronne/
Or uous uoyez/ cõment	Or vous voyez/ comment
Ce meschant est damne.	Ce meschant est damne.
¶ Par dessus dieu monter	¶ Par dessus dieu monter
Il uouldra/ en ses faictz	Il vouldra/ en ses faictz
Et son honneur oster/	Et son honneur oster/
Par ses prescheurs infectz/	Par ses prescheurs infectz/
Mais Christ/ roy des parfaictz	Mais Christ/ roy des parfaictz
En fin le desteruira/	En fin le destervira/
Les siens seront deffaictz/	Les siens seront deffaictz/
Quand lesprit regnera.	Quand l'esprit regnera.
¶ Les lamentations du ◊ape: ⁊ les	¶ Les lamentations du pape: et les
pitoyables regretz/ quil faict de ce	pitoyables regretz/ qu'il faict de ce
que les Luther◊ẽs le ont si puissam¬	que les Lutheriens le ont si puissam¬
mẽt assailly par les escriptures sain¬	ment assailly par les escriptures sain¬
ctes: et se chãte sur le chant Ne suis	ctes: et se chante sur le chant Ne suis
ie pas biẽ malheureux/ ne suis ie ⁊c.	je pas bien malheureux/ ne suis je etc.
N	N
E suis ie pas/ bien malheureux:	E suis je pas/ bien malheureux:
Ne suis ie pas/ infortune	Ne suis je pas/ infortune
Destre de ◊uther impugne/	D'estre de Luther impugne/
Pour souffrir mal si rigoreux	Pour souffrir mal si rigoreux
Ie me disois/ le dieu des dieux	Je me disois/ le dieu des dieux
Publicquement/	Publicquement/
Fault il que mon estat pompeulx/	Fault il que mon estat pompeulx/
Soit de luy/ traicte rudement.	Soit de luy/ traicte rudement.
¶ Ma dignite/ est en mon nom	¶ Ma dignite/ est en mon nom
Car ie suis pere sainct nomme:	Car je suis pere sainct nomme:
Mais Luther dit/ que suis damne	Mais Luther dit/ que suis damne
Par leuangile/ ⁊ son canon:	Par l'evangile/ et son canon:
Tais toy/ ce nest pas ton cas/ non?	Tais toy/ ce n'est pas ton cas/ non?
Den disputer	D'en disputer
Cest aux grandz docteurs de renom	C'est aux grandz docteurs de renom
Entre lesquelz/ ce fault traicter	Entre lesquelz/ ce fault traicter
¶ Tu donne trop/ dauctorite	¶ Tu donne trop/ d'auctorite
A leuangile/ scais ie bien	A l'evangile/ scais je bien
Mais aux glosses/ tu nentendz rien	Mais aux glosses/ tu n'entendz rien
Ne au sens/ plain de moralite	Ne au sens/ plain de moralite
La lettre occist/ mais uerite	La lettre occist/ mais verite
Est en lesprit/	Est en l'esprit/
Le sens duquel iay limite	Le sens duquel j'ay limite
Pour le glosser/ a mon proffit.	Pour le glosser/ a mon proffit.
¶ Respondz a moy/ Martin luther/	¶ Respondz a moy/ Martin luther/
Lauctorite/ de sainct Matthieu:	L'auctorite/ de sainct Matthieu:
Ou de sainct Paul/ seruant de dieu	Ou de sainct Paul/ servant de dieu
Contre moy/ peult elle lucter?	Contre moy/ peult elle lucter?
Ie dis que non/ ne relucter:	Je dis que non/ ne relucter:
Ne peult a moy	Ne peult a moy
Ie peulx corriger/ ⁊ bouter	Je peulx corriger/ et bouter
Nouueaulx articles/ de la foy.	Nouveaulx articles/ de la foy.
¶ Ie suis esleu/ des cardinaulx	¶ Je suis esleu/ des cardinaulx
Peres tressainctz/ on le congnoist	Peres tres sainctz/ on le congnoist
Leur humilite/ bien on uoit	Leur humilite/ bien on voit
En leurs habitz/ ⁊ leurs chappeaux:	En leurs habitz/ et leurs chappeaux:
Pourtant silz sont/ mes macquereaux	Pourtant s'ilz sont/ mes macquereaux
Secrettement/	Secrettement/
Fault il que par ces bibliaux	Fault il que par ces bibliaux
Ie sente perte/ ⁊ detriment.	Je sente perte/ et detriment.
¶ Par les uilles/ ⁊ par les champs	¶ Par les villes/ et par les champs
Ie suis mocque/ ⁊ desprise	Je suis mocque/ et desprise
Chascun a mon/ honneur brise	Chascun a mon/ honneur brise
Les grandz seigneurs/ ⁊ les marchans	Les grandz seigneurs/ et les marchans
Congnoissent bien/ mes faictz meschãs	Congnoissent bien/ mes faictz meschans
Las cest par toy/	Las c'est par toy/
Qui te mocques/ de tous mes chantz	Qui te mocques/ de tous mes chantz
Disant que dieu/ noit tel abboy.	Disant que dieu/ noit tel abboy.
¶ La messe tu/ ne chante plus	¶ La messe tu/ ne chante plus
Disant que cest/ infection/	Disant que c'est/ infection/
Et que Christ par sa passion	Et que Christ par sa passion
A satisfaiet/ et au surplus	A satisfait/ et au surplus
Quon faict/ deshonneur a Iesus	Qu'on faict/ deshonneur a Jesus
En la chantant/	En la chantant/
Le diable donc/ la mis dessus	Le diable donc/ la mis dessus
Trompant le monde/ ⁊ lenchantant.	Trompant le monde/ et l'enchantant.
¶ Des trespassez/ ⁊ poures moriz	¶ Des trespassez/ et povres moriz
Il ne ten fault/ iamais parler:	Il ne t'en fault/ jamais parler:
Nen nul pelerinage aller	N'en nul pelerinage aller
Les femmes/ nyront plus dehors:	Les femmes/ n'yront plus dehors:
Et si naurons/ plus rien des corps	Et si n'aurons/ plus rien des corps
Dont uiurons nous?	Dont vivrons nous?
Se dieu nous iecte/ cela hors	Se dieu nous jecte/ cela hors
Il nous fauldra/ labourer tous.	Il nous fauldra/ labourer tous.
¶ Ie tay faict excommunier/	¶ Je t'ay faict excommunier/
Pour leuangile/ que tu preschoys	Pour l'evangile/ que tu preschoys
Tu perseuere/ toutesfoys	Tu persevere/ toutesfoys
Disant que ie suis ung asnier	Disant que je suis ung asnier
Ueulx tu tant/ de docteurs nyer	Veulx tu tant/ de docteurs nyer
Pour soustenir/	Pour soustenir/
Leuangile/ aussi le psaultier	L'evangile/ aussi le psaultier
Parquoy tout mal/ me peult uenir.	Parquoy tout mal/ me peult venir.
¶ Les images/ tu as mis bas	¶ Les images/ tu as mis bas
Aussi les reliques/ des sainctz	Aussi les reliques/ des sainctz
Telz seruices (dis tu) sont feinctz	Telz services (dis tu) sont feinctz
Car dieu le nous deffend cy bas/	Car dieu le nous deffend cy bas/
Pourtant/ fault il sans nulz debatz	Pourtant/ fault il sans nulz debatz
Tout ruer ius/	Tout ruer jus/
En esprit/ tu faictz tes sabbatz	En esprit/ tu faictz tes sabbatz
Lesquelz en chair/ iauoys mis sus.	Lesquelz en chair/ j'avoys mis sus.
¶ A quoy tient il/ que ne maymez	¶ A quoy tient il/ que ne m'aymez
Dictes moy/ uostre intention	Dictes moy/ vostre intention
Prenez de moy compassion:	Prenez de moy compassion:
Ma dignite/ uous destruisez	Ma dignite/ vous destruisez
Et mon honneur/ uous rabbatez	Et mon honneur/ vous rabbatez
De ca de la.	De ca de la.
Si les sainctz escriptz uous scauez	Si les sainctz escriptz vous scavez
Doibt on pourtant/ prescher cela?	Doibt on pourtant/ prescher cela?
¶ Cent mille escuz ie uous donray	¶ Cent mille escuz je vous donray
Et des pardons/ tresamplement	Et des pardons/ tres amplement
Laissez leuangile/ urayement	Laissez l'evangile/ vrayement
Doulx ⁊ begnin/ ie uous seray	Doulx et begnin/ je vous seray
Si ne le faictes/ uous feray	Si ne le faictes/ vous feray
Trestous rostir/	Trestous rostir/
Et en ung feu/ uous brusleray:	Et en ung feu/ vous brusleray:
Respondz Luther/ ueulx tu mourir.	Respondz Luther/ veulx tu mourir.
¶ Mieux noꝰ uault mourir ꝑ tes maĩs	¶ Mieux nous vault mourir par tes mains
Que de seruir/ aux bougerons	Que de servir/ aux bougerons
Dauecques Christ/ ne bougerons:	D'avecques Christ/ ne bougerons:
Et si tu faictz/ de nous rostz maintz	Et si tu faictz/ de nous rostz maintz
Toutesfoys iamais/ aux Romains	Toutesfoys jamais/ aux Romains
Na tous leurs droictz/	N'a tous leurs droictz/
Ne seruirons/ car inhumains	Ne servirons/ car inhumains
Et faulx ilz sont/ en tous endroictz.	Et faulx ilz sont/ en tous endroictz.
¶ En Iesus nous/ aurons repos	¶ En Jesus nous/ aurons repos
Qui oeuure lhuys/ non pas Clement:	Qui oeuvre l'huys/ non pas Clement:
Il ne peult ce/ car sa clef ment	Il ne peult ce/ car sa clef ment
Or entendez/ meschantz suppos	Or entendez/ meschantz suppos
Leuangile est/ nostre propos	L'evangile est/ nostre propos
Nostre soulas/	Nostre soulas/
Elle nous faict/ de sens compos	Elle nous faict/ de sens compos
Mais le pape/ nous tient soubz lacqz.	Mais le pape/ nous tient soubz lacqz.
¶ Aultre chanson/ sur le chant Sur	¶ Aultre chanson/ sur le chant Sur
toutes fleͬs/ Iayme la marguerite.	toutes fleurs/ J'ayme la marguerite.
E	E¬
n toy mõ dieu iay mismõ esperãce	n toy mon dieu j'ay mis mon esperance
Ne me cõfondz/ pas eternellemẽt	Ne me confondz/ pas eternellement
Tous ceulx qui ont/ en toy leur cõfiãce	Tous ceulx qui ont/ en toy leur confiance
Cõfuz ne sont/ ains ilz sont seurement	Confuz ne sont/ ains ilz sont seurement
En toy mon dieu.	En toy mon dieu.
¶ De toy seul est/ mõ secoͬs/ ma defẽce	¶ De toy seul est/ mon secours/ ma defence
Qui tiẽs ciel/ mer/ ⁊ terre/ ẽtre tes maĩs	Qui tiens ciel/ mer/ et terre/ entre tes mains
Lhõme est mauldict/ qui ne se fie en ce	L'homme est mauldict/ qui ne se fie en ce
Quãd est de moy/ ie suis ⁊ soir ⁊ maĩs	Quand est de moy/ je suis et soir et mains
En toy mon dieu.	En toy mon dieu.
¶ Cõme le cerf/ en ung estang se lance	¶ Comme le cerf/ en ung estang se lance
Quãd est chasse/ des ueneͬs ⁊ des chiẽs	Quand est chasse/ des veneurs et des chiens
Sẽblablemẽt/ quãt mõ ame est en trãse	Semblablememt/ quant mon ame est en transe
A toy ie cours/ ⁊ par foy me soustiens	A toy je cours/ et par foy me soustiens
En toy mon dieu.	En toy mon dieu.
¶ Riẽ ne mysert/ frãcois/ ne sa grãt mã	¶ Rien ne my sert/ francois/ ne sa grant man¬
(ce	ce
Estre uestu/ de noir/ de blãc/ ou gris	Estre vestu/ de noir/ de blanc/ ou gris
Ie laisse aussi/ dominicque ⁊ sa pance	Je laisse aussi/ dominicque et sa pance
Ie uiẽs a toy/ car tout bien est cõprins	Je viens a toy/ car tout bien est comprins
En toy mon dieu.	En toy mon dieu.
¶ De le seruir/ faisons tous diligence.	¶ De le servir/ faisons tous diligence.
Sans discerner/ de places ou de lieux:	Sans discerner/ de places ou de lieux:
Il est par tout/ par essence ⁊ presence	Il est par tout/ par essence et presence
Qui ce ne croyt/ est contumelieux	Qui ce ne croyt/ est contumelieux
En toy mon dieu.	En toy mon dieu.
¶ Rien ne noꝰ sert/ la chair ⁊ sa prudẽce	¶ Rien ne nous sert/ la chair et sa prudence
Lesprit regist/ tout hõme en uerite	L'esprit regist/ tout homme en verite
Et si le faict/ auoir ferme creance	Et si le faict/ avoir ferme creance
Et patience/ au temps daduersite	Et patience/ au temps d'adversite
En toy mon dieu.	En toy mon dieu.
¶ Prince regnãt/ en ta haulte excellẽce	¶ Prince regnant/ en ta haulte excellence
Dauoir mal faict/ y me uint mal a gre	D'avoir mal faict/ y me vint mal a gre
Pardon requiers/ a ta saincte clemence	Pardon requiers/ a ta saincte clemence
Helas rẽdz moy/ en ung meilleur degre	Helas rendz moy/ en ung meilleur degre
En toy mõ dieu/ iay mis mon esperãce.	En toy mon dieu/ j'ay mis mon esperance.
¶ Aultre chanson/ en laquelle le pe¬	¶ Aultre chanson/ en laquelle le pe¬
cheur se cõplainct a dieu/ en luy de¬	cheur se complainct a dieu/ en luy de¬
mandãt secours des assaulx que luy	mandant secours des assaulx que luy
faict le diable. Et se chante sur le	faict le diable. Et se chante sur le
chãt/ De mon dueil triste ⁊ desp. ⁊c.	chant/ De mon dueil triste et desp. etc.
D	D¬
Es assaulx/ que sathan me faict	Es assaulx/ que sathan me faict
A toy mõ dieu/ ie my cõplains	A toy mon dieu/ je my complains
Sans grace auoir/ ie suis deffaict	Sans grace avoir/ je suis deffaict
Ses assaulx sõt/ plus que inhumains	Ses assaulx sont/ plus que inhumains
Entre ses mains/	Entre ses mains/
Souffre maulx maintz/	Souffre maulx maintz/
Sans nul confort/	Sans nul confort/
Mon dieu sans toy/ Cõme ie croy/	Mon dieu sans toy/ Comme je croy/
Cest le plus fort.	C'est le plus fort.
¶ Il massault/ du peche dorgueil	¶ Il m'assault/ du peche d'orgueil
Et me garde/ dhumilier	Et me garde/ d'humilier
Deuant toy/ mon cueur/ ⁊ mon oeil	Devant toy/ mon cueur/ et mon oeil
Dassaulx il ha/ ung millier:	D'assaulx il ha/ ung millier:
Comme ung belier	Comme ung belier
Me uient lier/	Me vient lier/
De ses liens/	De ses liens/
Dambition/	D'ambition/
Et fiction/	Et fiction/
Par tous moyens.	Par tous moyens.
¶ Dauarice/ sens la douleur	¶ D'avarice/ sens la douleur
Dont il me faict/ idolatrer:	Dont il me faict/ idolatrer:
Et regnier/ Christ mon sauueur/	Et regnier/ Christ mon sauveur/
Mauldit est/ qui la ueult aymer:	Mauldit est/ qui la veult aymer:
Car estimer/	Car estimer/
Dire ou nommer/	Dire ou nommer/
Ne puis ses lacqz/	Ne puis ses lacqz/
Pourtant ie dis/	Pourtant je dis/
Que paradis/	Que paradis/
Telz gens nont pas.	Telz gens n'ont pas.
¶ Luxure uient secretement/	¶ Luxure vient secretement/
Massaillir par/ ses doulx regardz/	M'assaillir par/ ses doulx regardz/
Tout lieu/ ⁊ pars certainement	Tout lieu/ et pars certainement
Ie suis brusle/ par elle ⁊ ars/	Je suis brusle/ par elle et ars/
Car de ses dardz/	Car de ses dardz/
Comme souldars/	Comme souldars/
My picque ⁊ point/	My picque et point/
Ie my consens/	Je my consens/
Suyuant mon sens/	Suyvant mon sens/
Uoyla le poinct.	Voyla le poinct.
¶ Ire me faict/ assaulx diuers/	¶ Ire me faict/ assaulx divers/
De me uenger/ cest mon soucy/	De me venger/ c'est mon soucy/
Ire me faict/ meschant/ peruers/	Ire me faict/ meschant/ pervers/
Iureur/ blasphemateur aussi:	Jureur/ blasphemateur aussi:
Comme endurcy/	Comme endurcy/
Sans nul mercy/	Sans nul mercy/
Me uengeray/	Me vengeray/
Par mon combat/	Par mon combat/
Son le debat/	Son le debat/
Ie les tueray.	Je les tueray.
¶ Puis gloutonnie/ y uient apres	¶ Puis gloutonnie/ y vient apres
Qui par exces/ faict boire uin	Qui par exces/ faict boire vin
Et les poures/ qui sont au pres	Et les povres/ qui sont au pres
Meurent de fain/ uoila la fin	Meurent de fain/ voila la fin
De mon festin:	De mon festin:
Et puis affin/	Et puis affin/
De manger mieulx/	De manger mieulx/
Il fault danser/	Il fault danser/
Pour digerer/	Pour digerer/
Uoyla mes dieux.	Voyla mes dieux.
¶ Enuie aussi/ accourt a moy/	¶ Envie aussi/ accourt a moy/
Qui me faict/ moult triste ⁊ dolent/	Qui me faict/ moult triste et dolent/
Du bien daultruy/ puis quand ie uoy	Du bien d'aultruy/ puis quand je voy
Quil pert le sien/ ien suis content:	Qu'il pert le sien/ j'en suis content:
Cela prouient/	Cela provient/
Dung iugement/	D'ung jugement/
Peruers/ maling/	Pervers/ maling/
Qui ne peult ueoir/	Qui ne peult veoir/
Ne amour auoir/	Ne amour avoir/
A son prochain.	A son prochain.
¶ Satan me faict/ tant paresseux	¶ Satan me faict/ tant paresseux
Que de te seruir/ ie suis las	Que de te servir/ je suis las
A ta besongne/ aller ne peulx	A ta besongne/ aller ne peulx
Ie ny prens ioye/ ne soulas:	Je n'y prens joye/ ne soulas:
Ien crie helas/	J'en crie helas/
Mon dieu las las/	Mon dieu las las/
Pardon requiers/	Pardon requiers/
Uiens ⁊ accours/	Viens et accours/
Et me secours/	Et me secours/
Tout seul te quiers.	Tout seul te quiers.
¶ Attendz support pouure pecheur	¶ Attendz support pouvre pecheur
De moy/ car ie te ueulx sauuer	De moy/ car je te veulx sauver
Si satan te tient/ la rigueur/	Si satan te tient/ la rigueur/
Cest pour mieulx/ ta foy esprouuer:	C'est pour mieulx/ ta foy esprouver:
Par ce tenter/	Par ce tenter/
Ie ueulx prouuer/	Je veulx prouver/
Si es mon filz/	Si es mon filz/
Lors le scauras/	Lors le scauras/
Quand tu seras/	Quand tu seras/
En croix assix.	En croix assix.
¶ Aultre chãson/ sur le chant Ie my	¶ Aultre chanson/ sur le chant Je my
repens de uous auoir aymee ⁊c.	repens de vous avoir aymee etc.
I	J¬
e uoꝰ rescripz/ ma seͬ tres biẽ aymee	e vous rescripz/ ma seur tres bien aymee
Une chãson/ cõmẽt saĩct Symeon	Une chanson/ comment sainct Symeon
Receut Iesus/ au temple Salomon	Receut Jesus/ au temple Salomon
Or la chantez/ de uoix bien accordee.	Or la chantez/ de voix bien accordee.
¶ Quãt Symeon tenoit Iesꝰ au tẽple	¶ Quant Symeon tenoit Jesus au temple
Entre ses bras/ il disoit: maintenant	Entre ses bras/ il disoit: maintenant
Mon dieu tu es/ ton seruiteur tenant	Mon dieu tu es/ ton serviteur tenant
En saĩcte paix/ iouxte ta parolle ãple.	En saincte paix/ jouxte ta parolle ample.
¶ Car mes deux yeulx ont ueu tõ salu	¶ Car mes deux yeulx ont veu ton salu¬
(taire	taire
Cest Iesꝰ christ/ de noꝰ tãt attẽdu	C'est Jesus christ/ de nous tant attendu
Et desire/ or est il en temps deu	Et desire/ or est il en temps deu
Uenu a nous/ pour nostre salut faire.	Venu a nous/ pour nostre salut faire.
¶ Il est uenu/ pour la gent iudaicque	¶ Il est venu/ pour la gent judaicque
Nõ seulemẽt/ mais aussi pour les gẽtz	Non seulement/ mais aussi pour les gentz
Lesquelz seront/ en sa foy permanentz	Lesquelz seront/ en sa foy permanentz
Sans accepter/ le Iuif du barbaricque	Sans accepter/ le Iuif du barbaricque
¶ Cest le soleil/ ⁊ la splendeur de gloire	¶ C'est le soleil/ et la splendeur de gloire
Limage aussi/ de toy pere eternel	L'image aussi/ de toy pere eternel
Qui est uenu/ le uray emmanuel:	Qui est venu/ le vray emmanuel:
Dieu auec noꝰ/ cela noꝰ debuõs croyre.	Dieu avec nous/ cela nous debvons croyre.
¶ Au tẽple il fut/ poͬ noꝰ sõ sãg espãdre	¶ Au temple il fut/ pour nous son sang espandre
La circõcis/ pour obseruer la loy:	La circoncis/ pour observer la loy:
Et pour mõstrer/ q̃ lhõme par la foy	Et pour monstrer/ que l'homme par la foy
Estre le doibt/ en esprit: doulx ⁊ tẽdre.	Estre le doibt/ en esprit: doulx et tendre.
¶ Puis symeon/ ainsi dist a la uierge	¶ Puis symeon/ ainsi dist a la vierge
Lame de toy/ dũg glaiue moult trẽchãt	L'ame de toy/ d'ung glaive moult trenchant
Sera percee/ affin que illuminant	Sera percee/ affin que illuminant
Il soit les cueͬs sa ꝑolle est ung cierge	Il soit les cueurs sa parolle est ung cierge
¶ Il dist apres/ qͥl seroit mis en signe	¶ Il dist apres/ qu'il seroit mis en signe
Et pour obiect/ de cõtradiction	Et pour obiect/ de contradiction
Pharisiens/ meschante nation	Pharisiens/ meschante nation
Contrediront/ a sa saincte doctrine.	Contrediront/ a sa saincte doctrine.
¶ Or maintenant/ tu uoys la ꝓphetie	¶ Or maintenant/ tu voys la prophetie
De symeon/ accomplie en ces temps	De symeon/ accomplie en ces temps
Quãt ton salut grace ⁊ pardon attẽdz	Quant ton salut grace et pardon attendz
Dũg autre christ/ certes cest grãd folie.	D'ung autre christ/ certes c'est grand folie.
¶ Ne uois tu poĩt/ auioͬdhuy les idoles	¶ Ne vois tu point/ aujourd'huy les idoles
En plusieurs lieux/ esleuez haultemẽt	En plusieurs lieux/ esleuez haultement
Et toutesfoys/ dieu tout expressement	Et toutesfoys/ dieu tout expressement
Le noꝰ deffẽd/ par ses saĩctes parolles.	Le nous deffend/ par ses sainctes parolles.
¶ Cest contredit/ de mettre sa fiance	¶ C'est contredit/ de mettre sa fiance
Et son salut/ en ung hõme mortel	Et son salut/ en ung homme mortel
Sainct Pierre dit/ es actes ung mot tel	Sainct Pierre dit/ es actes ung mot tel
Nul aultre nom/ ne peult sauuer q̃ ce.	Nul aultre nom/ ne peult sauver que ce.
¶ Cest cõtredit/ quãt Iesꝰ noꝰ enseigne	¶ C'est contredit/ quant Jesus nous enseigne
Quil nous fault toꝰ/ auoir humilite	Qu'il nous fault tous/ avoir humilite
Cõme il appert/ a sa natiuite	Comme il appert/ a sa nativite
Et si uoulõs/ dorgueil porter lẽseigne.	Et si voulons/ d'orgueil porter l'enseigne.
¶ Cest ꝯtredit/ quãt noꝰ aymõs richesse	¶ C'est contredit/ quant nous aymons richesse
Hõneurs mõdains/ argẽt/ or ⁊ thresors	Honneurs mondains/ argent/ or et thresors
Lesquelz Iesus/ cõe uilz ⁊ tres ors	Lesquelz Jesus/ come vilz et tres ors
A desprise/ contemplons en la chresse.	A desprise/ contemplons en la chresse.
¶ Cest cõtredit/ dauoir mulle solenne	¶ C'est contredit/ d'avoir mulle solenne
Haubins/ coursiers/ traq̃nars ⁊ muletz	Haubins/ coursiers/ traquenars et muletz
Trop plus braues/ urayemẽt q̃ nõt les	Trop plus braves/ vrayement que n'ont les
Et iesꝰ christ/ est mõte dessꝰ lasne. (laiz	laiz Et jesus christ/ est monte dessus l'asne.
¶ Cest cõtredit/ de fort bander la porte	¶ C'est contredit/ de fort bander la porte
Aux poures gẽs/ nudz qͥ meurẽt de fain	Aux povres gens/ nudz qui meurent de fain
Car Iesus christ/ multiplia le pain	Car Jesus christ/ multiplia le pain
Poͬ en dõner/ cõe saĩct Iehã rapporte.	Pour en donner/ come sainct Jehan rapporte.
¶ Cest cõtredit/ dempescher la parolle	¶ C'est contredit/ d'empescher la parolle
De Iesꝰ christ/ aux urays p̃dicateurs	De Jesus christ/ aux vrays predicateurs
Et toutesfoys/ noz maistres ⁊ docteurs	Et toutesfoys/ noz maistres et docteurs
Lont deffẽdu/ en leur meschãte escolle.	L'ont deffendu/ en leur meschante escolle.
